Month,PolicyYear,MonthInPY,Age,BOP_AV,BOP_BB,FinalMortality,FinalLapse,PWD_Rate,RiderChargeRate,CreditedRate,SurrChgPct,FPW_Pct,Lives,Mortality,Lapse,PWD,SurrChg,RiderChg,Interest,EOP_AV,BaseLapse,DynamicLapse,LapseSkew,NetIndexCreditReimb,HedgeGains
12,1,12,67,856386.39357427,1113302.31158698,0.00047280,0.00018861,0.00000000,0.00500000,0.00000000,0.09000000,0.00000000,3.9108815270,404.64722706,146.89558909,0.00000000,14.52813518,5563.10100917,0.00000000,850257.22161377,-5.74481029,-0.34715163,0.08333333,0.000000000,219.458318303
13,2,1,68,850257.22161377,1198148.07266750,0.00051490,0.00031736,0.00083718,0.00000000,0.03780000,0.09000000,0.05000000,3.9076272734,454.11309499,255.96610661,738.34218410,23.93122156,0.00000000,32139.72297700,880924.59198352,-5.22514605,-0.34715163,0.08333333,4017.465372125,4068.858678348
14,2,2,68,880924.59198352,1196148.86307200,0.00051425,0.00027965,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,3.9045255777,452.79199544,225.17343109,737.12464110,21.05230001,0.00000000,0.00000000,879488.44961588,-5.22514605,-0.47346800,0.08333333,0.000000000,45.768449669
15,2,3,68,879488.44961588,1194198.82095047,0.00051360,0.00029679,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,3.9013619876,451.47931663,238.58318537,735.91656376,22.30602772,0.00000000,0.00000000,878040.16452240,-5.22514605,-0.41407486,0.08333333,0.000000000,46.696133427
16,2,4,68,878040.16452240,1192232.29102982,0.00051295,0.00029679,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,3.8982034893,450.16702609,238.19036096,734.70488577,22.26930111,0.00000000,0.00000000,876594.83294847,-5.22514605,-0.41407486,0.08333333,0.000000000,47.146830708
17,2,5,68,876594.83294847,1190269.77149677,0.00051231,0.00029679,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,3.8950500713,448.85884302,237.79833753,733.49567847,22.23264938,0.00000000,0.00000000,875152.44744007,-5.22514605,-0.41407486,0.08333333,0.000000000,47.601925207
18,2,6,68,875152.44744007,1188311.25222998,0.00051166,0.00029679,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,3.8919017222,447.55475342,237.40711308,732.28893562,22.19607235,0.00000000,0.00000000,873713.00056559,-5.22514605,-0.41407486,0.08333333,0.000000000,48.061460231
19,2,7,68,873713.00056559,1186356.72313858,0.00051101,0.00029679,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,3.8887584306,446.25474331,237.01668559,731.08465100,22.15956984,0.00000000,0.00000000,872276.48491585,-5.22514605,-0.41407486,0.08333333,0.000000000,48.525479512
20,2,8,68,872276.48491585,1184406.17416213,0.00051037,0.00029679,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,3.8856201852,444.95879880,236.62705304,729.88281842,22.12314165,0.00000000,0.00000000,870842.89310394,-5.22514605,-0.41407486,0.08333333,0.000000000,48.994027220
21,2,9,68,870842.89310394,1182459.59527045,0.00050972,0.00029679,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,3.8824869748,443.66690602,236.23821344,728.68343170,22.08678759,0.00000000,0.00000000,869412.21776519,-5.22514605,-0.41407486,0.08333333,0.000000000,49.467147963
22,2,10,68,869412.21776519,1180516.97646352,0.00050908,0.00029679,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,3.8793587881,442.37905117,235.85016478,727.48648468,22.05050748,0.00000000,0.00000000,867984.45155708,-5.22514605,-0.41407486,0.08333333,0.000000000,49.944886792
23,2,11,68,867984.45155708,1178578.30777143,0.00050844,0.00029679,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,3.8762356138,441.09522050,235.46290508,726.29197122,22.01430113,0.00000000,0.00000000,866559.58715915,-5.22514605,-0.41407486,0.08333333,0.000000000,50.427289203
24,2,12,68,866559.58715915,1176643.57925423,0.00050780,0.00029679,0.00083718,0.00500000,0.00000000,0.09000000,0.05000000,3.8731174407,439.41181984,234.86072309,724.43452387,21.95800090,5874.86872353,0.00000000,859264.05336792,-5.22514605,-0.41407486,0.08333333,0.000000000,261.220534725
25,3,1,69,859264.05336792,1258620.83678765,0.00055702,0.00050255,0.00125868,0.00000000,0.03780000,0.08000000,0.05000000,3.8690146974,496.37368689,413.79637395,1121.63690147,34.03519959,0.00000000,32480.18121731,889678.39242332,-4.69960299,-0.41407486,0.08333333,4060.022652163,4132.132049268
26,3,2,69,889678.39242332,1255705.07698832,0.00055632,0.00044391,0.00125868,0.00000000,0.00000000,0.08000000,0.05000000,3.8651457513,494.61306627,364.68073873,1119.07136306,29.99538544,0.00000000,0.00000000,887670.03186983,-4.69960299,-0.53781434,0.08333333,0.000000000,64.004482411
27,3,3,69,887670.03186983,1252870.44757063,0.00055561,0.00047226,0.00125868,0.00000000,0.00000000,0.08000000,0.05000000,3.8611738988,492.86661520,387.08374230,1116.52963982,31.83805673,0.00000000,0.00000000,885641.71381579,-4.69960299,-0.47607750,0.08333333,0.000000000,65.397766579
28,3,4,69,885641.71381579,1250007.64984518,0.00055491,0.00047226,0.00125868,0.00000000,0.00000000,0.08000000,0.05000000,3.8572088351,491.11974181,386.19938394,1113.97873878,31.76531729,0.00000000,0.00000000,883618.65063396,-4.69960299,-0.47607750,0.08333333,0.000000000,65.992481632
29,3,5,69,883618.65063396,1247152.26892313,0.00055421,0.00047226,0.00125868,0.00000000,0.00000000,0.08000000,0.05000000,3.8532505442,489.37940565,385.31731641,1111.43444555,31.69276628,0.00000000,0.00000000,881600.82670007,-4.69960299,-0.47607750,0.08333333,0.000000000,66.592671254
30,3,6,69,881600.82670007,1244304.28275213,0.00055351,0.00047226,0.00125868,0.00000000,0.00000000,0.08000000,0.05000000,3.8492990101,487.64558066,384.43753289,1108.89674049,31.62040314,0.00000000,0.00000000,879588.22644288,-4.69960299,-0.47607750,0.08333333,0.000000000,67.198386364
31,3,7,69,879588.22644288,1241463.66935472,0.00055281,0.00047226,0.00125868,0.00000000,0.00000000,0.08000000,0.05000000,3.8453542171,485.91824090,383.56002661,1106.36560402,31.54822730,0.00000000,0.00000000,877580.83434405,-4.69960299,-0.47607750,0.08333333,0.000000000,67.809678357
32,3,8,69,877580.83434405,1238630.40682809,0.00055212,0.00047226,0.00125868,0.00000000,0.00000000,0.08000000,0.05000000,3.8414161492,484.19736053,382.68479079,1103.84101663,31.47623820,0.00000000,0.00000000,875578.63493790,-4.69960299,-0.47607750,0.08333333,0.000000000,68.426599113
33,3,9,69,875578.63493790,1235804.47334375,0.00055142,0.00047226,0.00125868,0.00000000,0.00000000,0.08000000,0.05000000,3.8374847907,482.48291383,381.81181869,1101.32295887,31.40443530,0.00000000,0.00000000,873581.61281120,-4.69960299,-0.47607750,0.08333333,0.000000000,69.049200997
34,3,10,69,873581.61281120,1232985.84714724,0.00055072,0.00047226,0.00125868,0.00000000,0.00000000,0.08000000,0.05000000,3.8335601259,480.77487519,380.94110360,1098.81141136,31.33281804,0.00000000,0.00000000,871589.75260302,-4.69960299,-0.47607750,0.08333333,0.000000000,69.677536866
35,3,11,69,871589.75260302,1230174.50655791,0.00055003,0.00047226,0.00125868,0.00000000,0.00000000,0.08000000,0.05000000,3.8296421391,479.07321909,380.07263881,1096.30635479,31.26138588,0.00000000,0.00000000,869603.03900445,-4.69960299,-0.47607750,0.08333333,0.000000000,70.311660074
36,3,12,69,869603.03900445,1227370.42996856,0.00054933,0.00047226,0.00125868,0.00500000,0.00000000,0.08000000,0.05000000,3.8257308146,476.79982261,378.74720436,1092.48318503,31.15236746,6125.26764574,0.00000000,861498.58877925,-4.69960299,-0.47607750,0.08333333,0.000000000,290.184225317
37,4,1,70,861498.58877925,1306211.83556823,0.00060677,0.00080494,0.00168214,0.00000000,0.03780000,0.07000000,0.05000000,3.8203318389,541.99206194,671.18963898,1502.55043161,47.81372361,0.00000000,32564.64665586,891299.68957898,-4.16818112,-0.47607750,0.08333333,4070.580831982,4167.043973858
38,4,2,70,891299.68957898,1302174.34005075,0.00060601,0.00071266,0.00168214,0.00000000,0.00000000,0.07000000,0.05000000,3.8152957590,539.65724898,592.42606929,1497.96945124,42.20282122,0.00000000,0.00000000,888627.43398825,-4.16818112,-0.59734255,0.08333333,0.000000000,85.162166553
39,4,3,70,888627.43398825,1298270.21812521,0.00060524,0.00075988,0.00168214,0.00000000,0.00000000,0.07000000,0.05000000,3.8100891631,537.34829990,629.77751141,1493.44635853,44.86363632,0.00000000,0.00000000,885921.99818209,-4.16818112,-0.53343750,0.08333333,0.000000000,87.229642803
40,4,4,70,885921.99818209,1294317.62044497,0.00060448,0.00075988,0.00168214,0.00000000,0.00000000,0.07000000,0.05000000,3.8048925824,535.03600719,627.86038924,1488.90011947,44.72706576,0.00000000,0.00000000,883225.47460043,-4.16818112,-0.53343750,0.08333333,0.000000000,87.960813350
41,4,5,70,883225.47460043,1290378.04337966,0.00060371,0.00075988,0.00168214,0.00000000,0.00000000,0.07000000,0.05000000,3.7997059916,532.73407475,625.94958158,1484.36885455,44.59094502,0.00000000,0.00000000,880537.83114453,-4.16818112,-0.53343750,0.08333333,0.000000000,88.698203099
42,4,6,70,880537.83114453,1286451.44003357,0.00060295,0.00075988,0.00168214,0.00000000,0.00000000,0.07000000,0.05000000,3.7945293656,530.44245395,624.04506568,1479.85250985,44.45527249,0.00000000,0.00000000,877859.03584257,-4.16818112,-0.53343750,0.08333333,0.000000000,89.441865590
43,4,7,70,877859.03584257,1282537.76369636,0.00060219,0.00075988,0.00168214,0.00000000,0.00000000,0.07000000,0.05000000,3.7893626793,528.16109640,622.14681890,1475.35103165,44.32004655,0.00000000,0.00000000,875189.05684906,-4.16818112,-0.53343750,0.08333333,0.000000000,90.191854832
44,4,8,70,875189.05684906,1278636.96784232,0.00060143,0.00075988,0.00168214,0.00000000,0.00000000,0.07000000,0.05000000,3.7842059075,525.88995395,620.25481868,1470.86436645,44.18526561,0.00000000,0.00000000,872527.86244438,-4.16818112,-0.53343750,0.08333333,0.000000000,90.948225302
45,4,9,70,872527.86244438,1274749.00612957,0.00060067,0.00075988,0.00168214,0.00000000,0.00000000,0.07000000,0.05000000,3.7790590253,523.62897868,618.36904255,1466.39246098,44.05092804,0.00000000,0.00000000,869875.42103413,-4.16818112,-0.53343750,0.08333333,0.000000000,91.711031952
46,4,10,70,869875.42103413,1270873.83239923,0.00059991,0.00075988,0.00168214,0.00000000,0.00000000,0.07000000,0.05000000,3.7739220077,521.37812294,616.48946811,1461.93526214,43.91703228,0.00000000,0.00000000,867231.70114866,-4.16818112,-0.53343750,0.08333333,0.000000000,92.480330209
47,4,11,70,867231.70114866,1267011.40067465,0.00059915,0.00075988,0.00168214,0.00000000,0.00000000,0.07000000,0.05000000,3.7687948301,519.13733927,614.61607309,1457.49271707,43.78357671,0.00000000,0.00000000,864596.67144251,-4.16818112,-0.53343750,0.08333333,0.000000000,93.256175987
48,4,12,70,864596.67144251,1263161.66516061,0.00059840,0.00075988,0.00168214,0.00500000,0.00000000,0.07000000,0.05000000,3.7636774675,516.12592774,611.82343778,1450.87029731,43.58463697,6300.58935005,0.00000000,855673.67779265,-4.16818112,-0.53343750,0.08333333,0.000000000,319.492615519
49,5,1,71,855673.67779265,1338032.36650773,0.00066561,0.00090924,0.00168214,0.00000000,0.03780000,0.06000000,0.05000000,3.7577525170,590.48339136,760.63818362,1492.28102437,45.97706942,0.00000000,32344.46502056,885128.76314445,-3.98955531,-0.53343750,0.08333333,4043.058127570,4143.913570335
50,5,2,71,885128.76314445,1333678.75780364,0.00066477,0.00080687,0.00168214,0.00000000,0.00000000,0.06000000,0.05000000,3.7522244678,587.84456067,672.83437297,1487.49125680,40.66973410,0.00000000,0.00000000,882339.92321990,-3.98955531,-0.65231879,0.08333333,0.000000000,88.877595006
51,5,3,71,882339.92321990,1329476.63860794,0.00066393,0.00086210,0.00168214,0.00000000,0.00000000,0.06000000,0.05000000,3.7465005939,585.23833365,716.60933217,1482.76958113,43.31572846,0.00000000,0.00000000,879511.99024449,-3.98955531,-0.58641133,0.08333333,0.000000000,91.179240976
52,5,4,71,879511.99024449,1325215.61547228,0.00066309,0.00086210,0.00168214,0.00000000,0.00000000,0.06000000,0.05000000,3.7407885912,582.62591045,714.31286457,1478.01785358,43.17691758,0.00000000,0.00000000,876693.85669830,-3.98955531,-0.58641133,0.08333333,0.000000000,91.927740050
53,5,5,71,876693.85669830,1320969.35774830,0.00066225,0.00086210,0.00168214,0.00000000,0.00000000,0.06000000,0.05000000,3.7350884279,580.02563877,712.02435368,1473.28258962,43.03858766,0.00000000,0.00000000,873885.48552857,-3.98955531,-0.58641133,0.08333333,0.000000000,92.682485782
54,5,6,71,873885.48552857,1316737.80960633,0.00066142,0.00086210,0.00168214,0.00000000,0.00000000,0.06000000,0.05000000,3.7294000725,577.43745937,709.74376940,1468.56372700,42.90073686,0.00000000,0.00000000,871086.83983595,-3.98955531,-0.58641133,0.08333333,0.000000000,93.443531012
55,5,7,71,871086.83983595,1312520.91544777,0.00066058,0.00086210,0.00168214,0.00000000,0.00000000,0.06000000,0.05000000,3.7237234937,574.86131331,707.47108179,1463.86120373,42.76336337,0.00000000,0.00000000,868297.88287374,-3.98955531,-0.58641133,0.08333333,0.000000000,94.210929030
56,5,8,71,868297.88287374,1308318.61990412,0.00065975,0.00086210,0.00168214,0.00000000,0.00000000,0.06000000,0.05000000,3.7180586599,572.29714197,705.20626101,1459.17495809,42.62646541,0.00000000,0.00000000,865518.57804726,-3.98955531,-0.58641133,0.08333333,0.000000000,94.984733583
57,5,9,71,865518.57804726,1304130.86783585,0.00065891,0.00086210,0.00168214,0.00000000,0.00000000,0.06000000,0.05000000,3.7124055400,569.74488702,702.94927735,1454.50492861,42.49004115,0.00000000,0.00000000,862748.88891312,-3.98955531,-0.58641133,0.08333333,0.000000000,95.764998878
58,5,10,71,862748.88891312,1299957.60433146,0.00065808,0.00086210,0.00168214,0.00000000,0.00000000,0.06000000,0.05000000,3.7067641028,567.20449044,700.70010123,1449.85105406,42.35408883,0.00000000,0.00000000,859988.77917856,-3.98955531,-0.58641133,0.08333333,0.000000000,96.551779585
59,5,11,71,859988.77917856,1295798.77470637,0.00065725,0.00086210,0.00168214,0.00000000,0.00000000,0.06000000,0.05000000,3.7011343173,564.67589448,698.45870318,1445.21327347,42.21860666,0.00000000,0.00000000,857238.21270077,-3.98955531,-0.58641133,0.08333333,0.000000000,97.345130842
60,5,12,71,857238.21270077,1291654.32450194,0.00065642,0.00086210,0.00168214,0.00500000,0.00000000,0.06000000,0.05000000,3.6955161525,561.28113496,695.13778027,1438.34179797,42.01787219,6441.90162660,0.00000000,848059.53248877,-3.98955531,-0.58641133,0.08333333,0.000000000,328.647611218
61,6,1,72,848059.53248877,1363260.91710119,0.00073518,0.00103779,0.00168214,0.00000000,0.03780000,0.05000000,0.05000000,3.6889669432,646.34242985,869.04552875,1478.87658903,43.33822847,0.00000000,32056.65032808,877078.58004075,-3.80505069,-0.58641133,0.08333333,4007.081291009,4113.110545745
62,6,2,72,877078.58004075,1358555.80517712,0.00073425,0.00092301,0.00168214,0.00000000,0.00000000,0.05000000,0.05000000,3.6828558711,643.32741893,770.29691966,1473.84063841,38.41375715,0.00000000,0.00000000,874152.70130660,-3.80505069,-0.70298917,0.08333333,0.000000000,93.244887554
63,6,3,72,874152.70130660,1354023.74883692,0.00073332,0.00098806,0.00168214,0.00000000,0.00000000,0.05000000,0.05000000,3.6765189174,640.35441709,821.81808590,1468.88592875,40.98305415,0.00000000,0.00000000,871180.65982070,-3.80505069,-0.63523614,0.08333333,0.000000000,95.825639855
64,6,4,72,871180.65982070,1349420.18844248,0.00073240,0.00098806,0.00168214,0.00000000,0.00000000,0.05000000,0.05000000,3.6701962713,637.37104292,819.02433592,1463.89248787,40.84373329,0.00000000,0.00000000,868219.52822071,-3.80505069,-0.63523614,0.08333333,0.000000000,96.592347920
65,6,5,72,868219.52822071,1344833.52697723,0.00073147,0.00098806,0.00168214,0.00000000,0.00000000,0.05000000,0.05000000,3.6638878921,634.40216037,816.24083997,1458.91737463,40.70492378,0.00000000,0.00000000,865269.26292195,-3.80505069,-0.63523614,0.08333333,0.000000000,97.365307176
66,6,6,72,865269.26292195,1340263.69693048,0.00073055,0.00098806,0.00168214,0.00000000,0.00000000,0.05000000,0.05000000,3.6575937394,631.44769566,813.46755709,1453.96051584,40.56662358,0.00000000,0.00000000,862329.82052978,-3.80505069,-0.63523614,0.08333333,0.000000000,98.144569373
67,6,7,72,862329.82052978,1335710.63108582,0.00072962,0.00098806,0.00168214,0.00000000,0.00000000,0.05000000,0.05000000,3.6513137728,628.50757541,810.70444649,1449.02183860,40.42883066,0.00000000,0.00000000,859401.15783862,-3.80505069,-0.63523614,0.08333333,0.000000000,98.930186693
68,6,8,72,859401.15783862,1331174.26251973,0.00072870,0.00098806,0.00168214,0.00000000,0.00000000,0.05000000,0.05000000,3.6450479521,625.58172662,807.95146758,1444.10127034,40.29154300,0.00000000,0.00000000,856483.23183108,-3.80505069,-0.63523614,0.08333333,0.000000000,99.722211756
69,6,9,72,856483.23183108,1326654.52460020,0.00072778,0.00098806,0.00168214,0.00000000,0.00000000,0.05000000,0.05000000,3.6387962372,622.67007669,805.20857992,1439.19873880,40.15475858,0.00000000,0.00000000,853575.99967709,-3.80505069,-0.63523614,0.08333333,0.000000000,100.520697624
70,6,10,72,853575.99967709,1322151.35098533,0.00072686,0.00098806,0.00168214,0.00000000,0.00000000,0.05000000,0.05000000,3.6325585880,619.77255341,802.47574327,1434.31417205,40.01847539,0.00000000,0.00000000,850679.41873298,-3.80505069,-0.63523614,0.08333333,0.000000000,101.325697803
71,6,11,72,850679.41873298,1317664.67562198,0.00072594,0.00098806,0.00168214,0.00000000,0.00000000,0.05000000,0.05000000,3.6263349649,616.88908494,799.75291755,1429.44749845,39.88269143,0.00000000,0.00000000,847793.44654060,-3.80505069,-0.63523614,0.08333333,0.000000000,102.137266247
72,6,12,72,847793.44654060,1313194.43274437,0.00072502,0.00098806,0.00168214,0.00500000,0.00000000,0.05000000,0.05000000,3.6201253281,613.02294966,795.74634172,1422.28629945,39.68288843,6548.37001923,0.00000000,838374.33804211,-3.80505069,-0.63523614,0.08333333,0.000000000,337.256276103
73,7,1,73,838374.33804211,1381448.36558790,0.00081670,0.00119665,0.00168214,0.00000000,0.03780000,0.04000000,0.05000000,3.6128402929,709.74564790,1000.41279254,1461.84547448,39.51734524,0.00000000,31690.54997799,866853.36675995,-3.61466726,-0.63523614,0.08333333,3961.318747249,4073.418725712
74,7,2,73,866853.36675995,1376349.26222563,0.00081567,0.00106659,0.00168214,0.00000000,0.00000000,0.04000000,0.05000000,3.6060431475,706.26613492,888.43242454,1456.52035040,35.09400430,0.00000000,0.00000000,863767.05384580,-3.61466726,-0.74958176,0.08333333,0.000000000,98.357767626
75,7,3,73,863767.05384580,1371448.95882338,0.00081464,0.00114378,0.00168214,0.00000000,0.00000000,0.04000000,0.05000000,3.5989843737,702.84177133,949.31196833,1451.29326808,37.49880956,0.00000000,0.00000000,860626.10802849,-3.61466726,-0.68013168,0.08333333,0.000000000,101.271514587
76,7,4,73,860626.10802849,1366461.91185084,0.00081361,0.00114378,0.00168214,0.00000000,0.00000000,0.04000000,0.05000000,3.5919431199,699.40094117,945.86039842,1446.01656206,37.36246896,0.00000000,0.00000000,857497.46765789,-3.61466726,-0.68013168,0.08333333,0.000000000,102.056497318
77,7,5,73,857497.46765789,1361494.40289145,0.00081258,0.00114378,0.00168214,0.00000000,0.00000000,0.04000000,0.05000000,3.5849193327,695.97767810,942.42234909,1440.76052611,37.22666244,0.00000000,0.00000000,854381.08044215,-3.61466726,-0.68013168,0.08333333,0.000000000,102.847699381
78,7,6,73,854381.08044215,1356546.34891870,0.00081155,0.00114378,0.00168214,0.00000000,0.00000000,0.04000000,0.05000000,3.5779129588,692.57188816,938.99776291,1435.52507238,37.09138772,0.00000000,0.00000000,851276.89433097,-3.61466726,-0.68013168,0.08333333,0.000000000,103.645170917
79,7,7,73,851276.89433097,1351617.66728954,0.00081053,0.00114378,0.00168214,0.00000000,0.00000000,0.04000000,0.05000000,3.5709239451,689.18347789,935.58658268,1430.31011348,36.95664256,0.00000000,0.00000000,848184.85751437,-3.61466726,-0.68013168,0.08333333,0.000000000,104.448962474
80,7,8,73,848184.85751437,1346708.27574249,0.00080950,0.00114378,0.00168214,0.00000000,0.00000000,0.04000000,0.05000000,3.5639522386,685.81235435,932.18875148,1425.11556237,36.82242469,0.00000000,0.00000000,845104.91842148,-3.61466726,-0.68013168,0.08333333,0.000000000,105.259125017
81,7,9,73,845104.91842148,1341818.09239573,0.00080848,0.00114378,0.00168214,0.00000000,0.00000000,0.04000000,0.05000000,3.5569977868,682.45842514,928.80421267,1419.94133245,36.68873189,0.00000000,0.00000000,842037.02571933,-3.61466726,-0.68013168,0.08333333,0.000000000,106.075709927
82,7,10,73,842037.02571933,1336947.03574520,0.00080746,0.00114378,0.00168214,0.00000000,0.00000000,0.04000000,0.05000000,3.5500605370,679.12159837,925.43290984,1414.78733749,36.55556193,0.00000000,0.00000000,838981.12831170,-3.61466726,-0.68013168,0.08333333,0.000000000,106.898769002
83,7,11,73,838981.12831170,1332095.02466269,0.00080644,0.00114378,0.00168214,0.00000000,0.00000000,0.04000000,0.05000000,3.5431404370,675.80178268,922.07478687,1409.65349168,36.42291258,0.00000000,0.00000000,835937.17533789,-3.61466726,-0.68013168,0.08333333,0.000000000,107.728354469
84,7,12,73,835937.17533789,1327261.97839397,0.00080542,0.00114378,0.00168214,0.00500000,0.00000000,0.04000000,0.05000000,3.5362374345,671.35739068,917.17034015,1402.15565036,36.22918184,6617.38568606,0.00000000,826292.87708880,-3.61466726,-0.68013168,0.08333333,0.000000000,345.319316964
85,8,1,74,826292.87708880,1392050.33321782,0.00091111,0.00139371,0.00168214,0.00000000,0.03780000,0.03000000,0.05000000,3.5280915340,780.29082708,1159.58592312,1440.62087340,34.01770335,0.00000000,31233.87075396,854112.23251580,-3.41840501,-0.68013168,0.08333333,3904.233844245,4023.419446209
86,8,2,74,854112.23251580,1386507.44232767,0.00090995,0.00124480,0.00168214,0.00000000,0.00000000,0.03000000,0.05000000,3.5204933498,776.24034658,1031.61946253,1434.95785097,30.26366926,0.00000000,0.00000000,850839.15118646,-3.41840501,-0.79230834,0.08333333,0.000000000,104.309893963
87,8,3,74,850839.15118646,1381194.14572600,0.00090880,0.00133708,0.00168214,0.00000000,0.00000000,0.03000000,0.05000000,3.5125910009,772.26336349,1103.81481032,1429.41419967,32.38159763,0.00000000,0.00000000,847501.27721534,-3.41840501,-0.72130202,0.08333333,0.000000000,107.620943568
88,8,4,74,847501.27721534,1375775.66917653,0.00090765,0.00133708,0.00168214,0.00000000,0.00000000,0.03000000,0.05000000,3.5047104229,768.26106922,1099.48506617,1423.80728290,32.25457991,0.00000000,0.00000000,844177.46921713,-3.41840501,-0.72130202,0.08333333,0.000000000,108.422880828
89,8,5,74,844177.46921713,1370380.02636644,0.00090651,0.00133708,0.00168214,0.00000000,0.00000000,0.03000000,0.05000000,3.4968515437,764.28040233,1095.17356536,1418.22399083,32.12809739,0.00000000,0.00000000,840867.66316123,-3.41840501,-0.72130202,0.08333333,0.000000000,109.230950675
90,8,6,74,840867.66316123,1365007.11335283,0.00090536,0.00133708,0.00168214,0.00000000,0.00000000,0.03000000,0.05000000,3.4890142916,760.32124046,1090.88022484,1412.66421591,32.00214762,0.00000000,0.00000000,837571.79533241,-3.41840501,-0.72130202,0.08333333,0.000000000,110.045200965
91,8,7,74,837571.79533241,1359656.82670475,0.00090421,0.00133708,0.00168214,0.00000000,0.00000000,0.03000000,0.05000000,3.4811985950,756.38346194,1086.60496200,1407.12785115,31.87672817,0.00000000,0.00000000,834289.80232915,-3.41840501,-0.72130202,0.08333333,0.000000000,110.865679929
92,8,8,74,834289.80232915,1354329.06350051,0.00090307,0.00133708,0.00168214,0.00000000,0.00000000,0.03000000,0.05000000,3.4734043827,752.46694585,1082.34769461,1401.61479009,31.75183664,0.00000000,0.00000000,831021.62106195,-3.41840501,-0.72130202,0.08333333,0.000000000,111.692436184
