Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
13,2,1,68,0.005989,0.013,0.000416038,0.09,0.05,0,0.000837177,0.083333333,0,79787.49515,112433.3097,-5.234789333,-0.347151629,0.000314314,0,0.0378,0,0.071428571,0.998433213,0.998433213,0.999269779,0.779729696,82803.46246,34.43308993,23.78974523,69.28836638,0,2.224191599,3015.967317,82673.72707,17.22369314,0,0,398.9374757,-543.6723704,376.9959146,381.5244023
14,2,2,68,0.005989,0.013,0.000415584,0.09,0.05,0,0.000837177,0.083333333,0,82673.72707,112257.1507,-5.234789333,-0.473467999,0.000276959,0,0,0,0.071428571,0.998470975,0.998470975,0.999307572,0.779160321,82673.72707,34.34224746,20.93001143,69.1811368,0,1.956824469,0,82547.31685,17.19735768,0,0,0,-141.6507534,0,4.02856982
15,2,3,68,0.005989,0.013,0.00041513,0.09,0.05,0,0.000837177,0.083333333,0,82547.31685,112085.5066,-5.234789333,-0.414074864,0.000293934,0,0,0,0.071428571,0.998454474,0.998454474,0.999291058,0.778620808,82547.31685,34.25198792,22.17868708,69.07476523,0,2.073567791,0,82419.73784,17.17077872,0,0,0,-142.6762189,0,4.113448663
16,2,4,68,0.005989,0.013,0.000414676,0.09,0.05,0,0.000837177,0.083333333,0,82419.73784,111912.2756,-5.234789333,-0.414074864,0.000293934,0,0,0,0.071428571,0.998454927,0.998454927,0.999291511,0.778068812,82419.73784,34.16170056,22.14441369,68.96802192,0,2.070363445,0,82292.39334,17.14424861,0,0,0,-142.4183848,0,4.153987689
17,2,5,68,0.005989,0.013,0.000414223,0.09,0.05,0,0.000837177,0.083333333,0,82292.39334,111739.363,-5.234789333,-0.414074864,0.000293934,0,0,0,0.071428571,0.99845538,0.99845538,0.999291964,0.777517559,82292.39334,34.07166674,22.11020329,68.8614748,0,2.067164988,0,82165.28283,17.11776726,0,0,0,-142.1611121,0,4.194929127
18,2,6,68,0.005989,0.013,0.000413771,0.09,0.05,0,0.000837177,0.083333333,0,82165.28283,111566.7681,-5.234789333,-0.414074864,0.000293934,0,0,0,0.071428571,0.998455832,0.998455832,0.999292417,0.776967048,82165.28283,33.98188569,22.07605574,68.75512342,0,2.063972407,0,82038.4058,17.09133454,0,0,0,-141.9043994,0,4.236276995
19,2,7,68,0.005989,0.013,0.000413319,0.09,0.05,0,0.000837177,0.083333333,0,82038.4058,111394.4902,-5.234789333,-0.414074864,0.000293934,0,0,0,0.071428571,0.998456283,0.998456283,0.999292868,0.776417279,82038.4058,33.89235665,22.04197091,68.64896737,0,2.060785689,0,81911.76171,17.06495036,0,0,0,-141.6482453,0,4.278035356
20,2,8,68,0.005989,0.013,0.000412867,0.09,0.05,0,0.000837177,0.083333333,0,81911.76171,111222.5286,-5.234789333,-0.414074864,0.000293934,0,0,0,0.071428571,0.998456734,0.998456734,0.99929332,0.77586825,81911.76171,33.80307886,22.00794865,68.54300621,0,2.057604822,0,81785.35008,17.0386146,0,0,0,-141.3926483,0,4.32020831
21,2,9,68,0.005989,0.013,0.000412416,0.09,0.05,0,0.000837177,0.083333333,0,81785.35008,111050.8827,-5.234789333,-0.414074864,0.000293934,0,0,0,0.071428571,0.998457184,0.998457184,0.999293771,0.775319959,81785.35008,33.71405155,21.97398883,68.4372395,0,2.054429792,0,81659.17037,17.01232716,0,0,0,-141.137607,0,4.3628
22,2,10,68,0.005989,0.013,0.000411966,0.09,0.05,0,0.000837177,0.083333333,0,81659.17037,110879.5517,-5.234789333,-0.414074864,0.000293934,0,0,0,0.071428571,0.998457634,0.998457634,0.999294221,0.774772406,81659.17037,33.62527397,21.94009131,68.33166682,0,2.051260587,0,81533.22207,16.98608793,0,0,0,-140.88312,0,4.40581461
23,2,11,68,0.005989,0.013,0.000411516,0.09,0.05,0,0.000837177,0.083333333,0,81533.22207,110708.5348,-5.234789333,-0.414074864,0.000293934,0,0,0,0.071428571,0.998458084,0.998458084,0.999294671,0.774225587,81533.22207,33.53674538,21.90625595,68.22628774,0,2.048097193,0,81407.50469,16.95989681,0,0,0,-140.6291859,0,4.449256367
24,2,12,68,0.005989,0.013,0.000411066,0.09,0.05,0,0.000837177,0.083333333,0,81407.50469,110537.8316,-5.234789333,-0.414074864,0.000293934,0.005,0,0,0.071428571,0.991679831,0.998458533,0.99929512,0.773679503,81407.50469,33.41900101,21.85321564,68.06109552,551.9477444,2.043138258,0,80730.18049,16.8187876,0,0,0,-140.1520998,0,24.25195927
25,3,1,69,0.00664848,0.013,0.000455946,0.08,0.05,0,0.001258677,0.083333333,0,80730.18049,118250.8298,-4.702423724,-0.414074864,0.000501128,0,0.0378,0,0.066666667,0.997785682,0.997785682,0.999043155,0.773134152,83781.78132,38.17528506,38.7693867,105.3860092,0,3.188824014,3051.600823,83596.26181,17.41588788,0,0,0,-199.7465689,381.4501028,387.9257668
26,3,2,69,0.00664848,0.013,0.000455448,0.08,0.05,0,0.001258677,0.083333333,0,83596.26181,117988.9849,-4.702423724,-0.537814336,0.000442659,0,0,0,0.066666667,0.997844548,0.997844548,0.999102094,0.772394383,83596.26181,38.0502467,34.17117613,105.1557214,0,2.810616219,0,83416.07405,17.37834876,0,0,0,-194.755493,0,5.74240732
27,3,3,69,0.00664848,0.013,0.00045495,0.08,0.05,0,0.001258677,0.083333333,0,83416.07405,117734.6652,-4.702423724,-0.476077502,0.000470922,0,0,0,0.066666667,0.99781683,0.99781683,0.999074342,0.771700845,83416.07405,37.92621953,36.274063,104.927601,0,2.983580939,0,83233.96259,17.34040887,0,0,0,-196.4682924,0,5.871703907
28,3,4,69,0.00664848,0.013,0.000454453,0.08,0.05,0,0.001258677,0.083333333,0,83233.96259,117477.6304,-4.702423724,-0.476077502,0.000470922,0,0,0,0.066666667,0.997817326,0.997817326,0.999074839,0.770986514,83233.96259,37.80208295,36.1948796,104.6985523,0,2.977068019,0,83052.29,17.30256042,0,0,0,-195.9980753,0,5.92617408
29,3,5,69,0.00664848,0.013,0.000453957,0.08,0.05,0,0.001258677,0.083333333,0,83052.29,117221.2151,-4.702423724,-0.476077502,0.000470922,0,0,0,0.066666667,0.997817822,0.997817822,0.999075335,0.770273228,83052.29,37.67837152,36.11588701,104.4700557,0,2.970570793,0,82871.05512,17.26480315,0,0,0,-195.5291173,0,5.981153714
30,3,6,69,0.00664848,0.013,0.000453461,0.08,0.05,0,0.001258677,0.083333333,0,82871.05512,116965.4175,-4.702423724,-0.476077502,0.000470922,0,0,0,0.066666667,0.997818317,0.997818317,0.999075831,0.769560983,82871.05512,37.55508371,36.03708471,104.2421094,0,2.964089219,0,82690.25675,17.22713682,0,0,0,-195.0614147,0,6.036647606
31,3,7,69,0.00664848,0.013,0.000452965,0.08,0.05,0,0.001258677,0.083333333,0,82690.25675,116710.2361,-4.702423724,-0.476077502,0.000470922,0,0,0,0.066666667,0.997818812,0.997818812,0.999076326,0.768849778,82690.25675,37.43221799,35.95847219,104.0147121,0,2.957623254,0,82509.89372,17.18956119,0,0,0,-194.5949635,0,6.092660601
32,3,8,69,0.00664848,0.013,0.000452471,0.08,0.05,0,0.001258677,0.083333333,0,82509.89372,116455.6691,-4.702423724,-0.476077502,0.000470922,0,0,0,0.066666667,0.997819306,0.997819306,0.999076821,0.768139612,82509.89372,37.30977284,35.88004893,103.7878623,0,2.951172856,0,82329.96487,17.15207601,0,0,0,-194.1297601,0,6.149197591
33,3,9,69,0.00664848,0.013,0.000451976,0.08,0.05,0,0.001258677,0.083333333,0,82329.96487,116201.7149,-4.702423724,-0.476077502,0.000470922,0,0,0,0.066666667,0.997819799,0.997819799,0.999077315,0.767430481,82329.96487,37.18774674,35.80181443,103.5615585,0,2.944737984,0,82150.46901,17.11468104,0,0,0,-193.6658008,0,6.206263511
34,3,10,69,0.00664848,0.013,0.000451482,0.08,0.05,0,0.001258677,0.083333333,0,82150.46901,115948.3718,-4.702423724,-0.476077502,0.000470922,0,0,0,0.066666667,0.997820292,0.997820292,0.999077808,0.766722385,82150.46901,37.06613818,35.72376818,103.3357993,0,2.938318595,0,81971.40499,17.07737604,0,0,0,-193.2030817,0,6.263863347
35,3,11,69,0.00664848,0.013,0.000450989,0.08,0.05,0,0.001258677,0.083333333,0,81971.40499,115695.6382,-4.702423724,-0.476077502,0.000470922,0,0,0,0.066666667,0.997820785,0.997820785,0.999078301,0.76601532,81971.40499,36.94494565,35.64590967,103.1105831,0,2.931914649,0,81792.77163,17.04016076,0,0,0,-192.7415992,0,6.322002128
36,3,12,69,0.00664848,0.013,0.000450496,0.08,0.05,0,0.001258677,0.083333333,0,81792.77163,115443.5125,-4.702423724,-0.476077502,0.000470922,0.005,0,0,0.066666667,0.990779579,0.997821276,0.999078794,0.765309284,81792.77163,36.78054633,35.52610484,102.7640315,576.1710623,2.922060571,0,81038.60783,16.8830433,0,0,0,-191.953726,0,27.00324311
37,4,1,70,0.0073942,0.013,0.000500618,0.07,0.05,0,0.001682143,0.083333333,0,81038.60783,122871.4592,-4.16261478,-0.476077502,0.000809455,0,0.0378,0,0.0625,0.997010393,0.997010393,0.998690332,0.764604277,84101.8672,42.06618809,63.49420445,141.3480109,0,4.523154361,3063.259376,83850.43565,17.46884076,0,0,0,-264.3772442,382.907422,391.6837837
38,4,2,70,0.0073942,0.013,0.000500071,0.07,0.05,0,0.001682143,0.083333333,0,83850.43565,122504.1218,-4.16261478,-0.597342546,0.000716649,0,0,0,0.0625,0.997103542,0.997103542,0.998783638,0.763602899,83850.43565,41.89636321,56.0487471,140.9313929,0,3.992760238,0,83607.56638,17.418243,0,0,0,-256.2947462,0,7.740005387
39,4,3,70,0.0073942,0.013,0.000499524,0.07,0.05,0,0.001682143,0.083333333,0,83607.56638,122149.2937,-4.16261478,-0.533437503,0.000764141,0,0,0,0.0625,0.997056699,0.997056699,0.998736716,0.762674082,83607.56638,41.72846087,59.58868123,140.5201679,0,4.244935514,0,83361.48414,17.36697586,0,0,0,-259.2042859,0,7.93427304
40,4,4,70,0.0073942,0.013,0.000498978,0.07,0.05,0,0.001682143,0.083333333,0,83361.48414,121789.7716,-4.16261478,-0.533437503,0.000764141,0,0,0,0.0625,0.997057243,0.997057243,0.998737262,0.761710608,83361.48414,41.56018544,59.41331137,140.1066162,0,4.232442642,0,83116.17158,17.31586908,0,0,0,-258.3959821,0,8.002115043
41,4,5,70,0.0073942,0.013,0.000498433,0.07,0.05,0,0.001682143,0.083333333,0,83116.17158,121431.3739,-4.16261478,-0.533437503,0.000764141,0,0,0,0.0625,0.997057787,0.997057787,0.998737807,0.760748767,83116.17158,41.39261133,59.23848996,139.6943578,0,4.21998884,0,82871.62613,17.26492211,0,0,0,-257.5903812,0,8.070542898
42,4,6,70,0.0073942,0.013,0.000497888,0.07,0.05,0,0.001682143,0.083333333,0,82871.62613,121074.097,-4.16261478,-0.533437503,0.000764141,0,0,0,0.0625,0.997058331,0.997058331,0.998738351,0.759788555,82871.62613,41.22573551,59.06421517,139.2833884,0,4.207573978,0,82627.84522,17.21413442,0,0,0,-256.7874735,0,8.139561707
43,4,7,70,0.0073942,0.013,0.000497344,0.07,0.05,0,0.001682143,0.083333333,0,82627.84522,120717.9371,-4.16261478,-0.533437503,0.000764141,0,0,0,0.0625,0.997058874,0.997058874,0.998738895,0.758829969,82627.84522,41.05955496,58.89048516,138.8737037,0,4.195197925,0,82384.82628,17.16350547,0,0,0,-255.9872493,0,8.209176616
44,4,8,70,0.0073942,0.013,0.000496801,0.07,0.05,0,0.001682143,0.083333333,0,82384.82628,120362.8903,-4.16261478,-0.533437503,0.000764141,0,0,0,0.0625,0.997059416,0.997059416,0.998739438,0.757873005,82384.82628,40.89406667,58.71729811,138.4652994,0,4.182860551,0,82142.56675,17.11303474,0,0,0,-255.1896989,0,8.279392817
45,4,9,70,0.0073942,0.013,0.000496258,0.07,0.05,0,0.001682143,0.083333333,0,82142.56675,120008.9531,-4.16261478,-0.533437503,0.000764141,0,0,0,0.0625,0.997059957,0.997059957,0.99873998,0.756917658,82142.56675,40.72926765,58.54465219,138.0581712,0,4.170561726,0,81901.0641,17.06272169,0,0,0,-254.3948128,0,8.350215549
46,4,10,70,0.0073942,0.013,0.000495715,0.07,0.05,0,0.001682143,0.083333333,0,81901.0641,119656.1217,-4.16261478,-0.533437503,0.000764141,0,0,0,0.0625,0.997060498,0.997060498,0.998740522,0.755963927,81901.0641,40.5651549,58.3725456,137.6523148,0,4.15830132,0,81660.31578,17.01256579,0,0,0,-253.6025811,0,8.421650094
47,4,11,70,0.0073942,0.013,0.000495174,0.07,0.05,0,0.001682143,0.083333333,0,81660.31578,119304.3923,-4.16261478,-0.533437503,0.000764141,0,0,0,0.0625,0.997061039,0.997061039,0.998741064,0.755011808,81660.31578,40.40172547,58.20097653,137.247726,0,4.146079206,0,81420.31928,16.96256652,0,0,0,-252.8129945,0,8.493701783
48,4,12,70,0.0073942,0.013,0.000494633,0.07,0.05,0,0.001682143,0.083333333,0,81420.31928,118953.7613,-4.16261478,-0.533437503,0.000764141,0.005,0,0,0.0625,0.989778125,0.997061579,0.998741604,0.754061296,81420.31928,40.17896197,57.9433944,136.6403039,593.3779504,4.127729756,0,80588.05094,16.78917728,0,0,0,-251.5518375,0,29.79981824
49,5,1,71,0.008221547,0.013,0.000549544,0.06,0.05,0,0.001682143,0.083333333,0,80588.05094,126016.9891,-3.974037372,-0.533437503,0.000923532,0,0.0378,0,0.058823529,0.996847766,0.996847766,0.998527431,0.753112388,83634.27926,45.91724798,72.76743619,140.5517031,0,4.398455846,3046.228325,83370.64442,17.36888425,0,0,0,-276.6052715,380.7785407,389.980865
50,5,2,71,0.008221547,0.013,0.000548943,0.06,0.05,0,0.001682143,0.083333333,0,83370.64442,125619.754,-3.974037372,-0.652318787,0.000819548,0,0,0,0.058823529,0.996952117,0.996952117,0.998631958,0.752003378,83370.64442,45.72448859,64.37355197,140.114836,0,3.891084266,0,83116.54046,17.31594593,0,0,0,-267.5288225,0,8.098044181
51,5,3,71,0.008221547,0.013,0.000548343,0.06,0.05,0,0.001682143,0.083333333,0,83116.54046,125236.8797,-3.974037372,-0.586411333,0.000875652,0,0,0,0.058823529,0.996896737,0.996896737,0.998576485,0.750974606,83116.54046,45.53421598,68.56912447,139.6844726,0,4.144687269,0,82858.60796,17.26220999,0,0,0,-271.050023,0,8.316353253
52,5,4,71,0.008221547,0.013,0.000547744,0.06,0.05,0,0.001682143,0.083333333,0,82858.60796,124848.2367,-3.974037372,-0.586411333,0.000875652,0,0,0,0.058823529,0.996897335,0.996897335,0.998577084,0.749905583,82858.60796,45.3433051,68.35635797,139.2510388,0,4.131826516,0,82601.52543,17.20865113,0,0,0,-270.159353,0,8.386052489
53,5,5,71,0.008221547,0.013,0.000547145,0.06,0.05,0,0.001682143,0.083333333,0,82601.52543,124460.8744,-3.974037372,-0.586411333,0.000875652,0,0,0,0.058823529,0.996897932,0.996897932,0.998577682,0.74883853,82601.52543,45.15322189,68.14429252,138.8190331,0,4.119008138,0,82345.28987,17.15526872,0,0,0,-269.2718162,0,8.456342417
54,5,6,71,0.008221547,0.013,0.000546547,0.06,0.05,0,0.001682143,0.083333333,0,82345.28987,124074.7883,-3.974037372,-0.586411333,0.000875652,0,0,0,0.058823529,0.996898528,0.996898528,0.99857828,0.747773443,82345.28987,44.96396261,67.93292566,138.3884506,0,4.106231986,0,82089.8983,17.10206215,0,0,0,-268.387401,0,8.527228091
55,5,7,71,0.008221547,0.013,0.00054595,0.06,0.05,0,0.001682143,0.083333333,0,82089.8983,123689.9739,-3.974037372,-0.586411333,0.000875652,0,0,0,0.058823529,0.996899124,0.996899124,0.998578876,0.746710318,82089.8983,44.77552356,67.72225492,137.9592861,0,4.093497911,0,81835.34774,17.04903078,0,0,0,-267.5060953,0,8.59871461
56,5,8,71,0.008221547,0.013,0.000545353,0.06,0.05,0,0.001682143,0.083333333,0,81835.34774,123306.4267,-3.974037372,-0.586411333,0.000875652,0,0,0,0.058823529,0.99689972,0.99689972,0.998579473,0.745649151,81835.34774,44.58790103,67.51227784,137.5315347,0,4.080805766,0,81581.63522,16.996174,0,0,0,-266.6278876,0,8.670807113
57,5,9,71,0.008221547,0.013,0.000544757,0.06,0.05,0,0.001682143,0.083333333,0,81581.63522,122924.1422,-3.974037372,-0.586411333,0.000875652,0,0,0,0.058823529,0.996900314,0.996900314,0.998580068,0.744589936,81581.63522,44.40109137,67.30299198,137.1051914,0,4.068155401,0,81328.75779,16.94349121,0,0,0,-265.752766,0,8.743510786
58,5,10,71,0.008221547,0.013,0.000544161,0.06,0.05,0,0.001682143,0.083333333,0,81328.75779,122543.116,-3.974037372,-0.586411333,0.000875652,0,0,0,0.058823529,0.996900908,0.996900908,0.998580663,0.743532669,81328.75779,44.2150909,67.09439491,136.6802513,0,4.05554667,0,81076.71251,16.89098177,0,0,0,-264.8807189,0,8.816830861
59,5,11,71,0.008221547,0.013,0.000543566,0.06,0.05,0,0.001682143,0.083333333,0,81076.71251,122163.3436,-3.974037372,-0.586411333,0.000875652,0,0,0,0.058823529,0.996901502,0.996901502,0.998581258,0.742477346,81076.71251,44.02989598,66.88648419,136.2567094,0,4.042979426,0,80825.49644,16.83864509,0,0,0,-264.0117347,0,8.890772611
60,5,12,71,0.008221547,0.013,0.000542972,0.06,0.05,0,0.001682143,0.083333333,0,80825.49644,121784.8207,-3.974037372,-0.586411333,0.000875652,0.005,0,0,0.058823529,0.989391621,0.996902094,0.998581851,0.741423962,80825.49644,43.77787495,66.57641019,135.6250472,607.4239193,4.024236883,0,79968.06895,16.66001436,0,0,0,-262.6393467,0,30.70065515
61,6,1,72,0.0091428,0.013,0.000603356,0.05,0.05,1,0,0.083333333,0,79968.06895,128549.1629,-4.594627546,-0.586411333,0.000469725,0,0.0378,712.3766113,0.055555556,0.998927202,0.998927202,0.998927202,0.740372512,82251.55751,49.61388616,36.79071629,712.3766113,0,1.834707637,2995.86517,82163.3182,17.11735796,0,0,0,-815.8985717,377.8491258,380.9568536
62,6,2,72,0.0091428,0.013,0.000602697,0.05,0.05,1,0,0.083333333,0,82163.3182,128411.2556,-4.594627546,-0.70298917,0.000417918,0,0,711.612375,0.055555556,0.998979637,0.998979637,0.998979637,0.739578242,81451.70582,49.07854487,32.41522392,711.612375,0,1.61650723,0,81368.59555,16.95179074,0,0,0,-810.0579346,0,2.671783219
63,6,3,72,0.0091428,0.013,0.000602037,0.05,0.05,1,0,0.083333333,0,81368.59555,128280.2296,-4.594627546,-0.651346902,0.000440121,0,0,710.8862724,0.055555556,0.998958107,0.998958107,0.998958107,0.738823604,80657.70927,48.54661943,33.80433872,710.8862724,0,1.685780671,0,80573.67254,16.78618178,0,0,0,-810.0234123,0,2.7334239
64,6,4,72,0.0091428,0.013,0.000601379,0.05,0.05,1,0,0.083333333,0,80573.67254,128146.5753,-4.594627546,-0.66714724,0.000433205,0,0,710.1456046,0.055555556,0.998965676,0.998965676,0.998965676,0.738053828,79863.52693,48.01616963,32.94561321,710.1456046,0,1.642957089,0,79780.92219,16.62102546,0,0,0,-807.7284129,0,2.718533291
65,6,5,72,0.0091428,0.013,0.000600722,0.05,0.05,1,0,0.083333333,0,79780.92219,128014.0302,-4.594627546,-0.683226095,0.000426279,0,0,709.4110842,0.055555556,0.998973255,0.998973255,0.998973255,0.737290442,79071.51111,47.4881223,32.09746455,709.4110842,0,1.600660962,0,78990.32486,16.45631768,0,0,0,-805.4529887,0,2.703364776
66,6,6,72,0.0091428,0.013,0.000600065,0.05,0.05,1,0,0.083333333,0,78990.32486,127882.5925,-4.594627546,-0.699590895,0.000419344,0,0,708.6827002,0.055555556,0.998980843,0.998980843,0.998980843,0.736533433,78281.64216,46.96245958,31.25993013,708.6827002,0,1.558894154,0,78201.86088,16.29205435,0,0,0,-803.1971442,0,2.687919846
67,6,7,72,0.0091428,0.013,0.000599409,0.05,0.05,1,0,0.083333333,0,78201.86088,127752.2601,-4.594627546,-0.716249338,0.0004124,0,0,707.9604412,0.055555556,0.998988438,0.998988438,0.998988438,0.73578279,77493.90043,46.43916368,30.43304782,707.9604412,0,1.517658553,0,77415.51056,16.12823137,0,0,0,-800.9608841,0,2.67220016
68,6,8,72,0.0091428,0.013,0.000598753,0.05,0.05,1,0,0.083333333,0,77415.51056,127623.0308,-4.594627546,-0.733209398,0.00040545,0,0,707.2442955,0.055555556,0.99899604,0.99899604,0.99899604,0.7350385,76708.26627,45.91821688,29.61685594,707.2442955,0,1.476956071,0,76631.25424,15.96484463,0,0,0,-798.7442129,0,2.656207555
69,6,9,72,0.0091428,0.013,0.000598099,0.05,0.05,1,0,0.083333333,0,76631.25424,127494.9023,-4.594627546,-0.750479342,0.000398492,0,0,706.5342505,0.055555556,0.999003648,0.999003648,0.999003648,0.734300551,75924.71999,45.3996015,28.81139326,706.5342505,0,1.43678864,0,75849.07221,15.80189004,0,0,0,-796.5471353,0,2.63994405
70,6,10,72,0.0091428,0.013,0.000597445,0.05,0.05,1,0,0.083333333,0,75849.07221,127367.8725,-4.594627546,-0.768067741,0.00039153,0,0,705.8302934,0.055555556,0.99901126,0.99901126,0.99901126,0.733568929,75143.24191,44.88329992,28.01669892,705.8302934,0,1.397158214,0,75068.94476,15.63936349,0,0,0,-794.3696557,0,2.623411844
71,6,11,72,0.0091428,0.013,0.000596791,0.05,0.05,1,0,0.083333333,0,75068.94476,127241.9387,-4.594627546,-0.785983486,0.000384563,0,0,705.1324105,0.055555556,0.999018875,0.999018875,0.999018875,0.732843619,74363.81234,44.36929458,27.23281242,705.1324105,0,1.358066761,0,74290.85217,15.47726087,0,0,0,-792.2117783,0,2.60661333
72,6,12,72,0.0091428,0.013,0.000596139,0.05,0.05,1,0,0.083333333,0,74290.85217,127117.0985,-4.594627546,-0.8042358,0.000377593,0.015,0,704.4405876,0.055555556,0.973385379,0.999026493,0.999026493,0.732124608,73586.41158,43.82619366,26.44084509,704.4405876,1886.888843,1.318572327,0,71627.93713,14.9224869,0,0,0,-789.6301133,0,70.79553477
73,7,1,73,0.010172427,0.013,0.000662793,0.04,0.05,1,0,0.083333333,0,71627.93713,126993.3492,-4.443414444,-0.822834259,0.000431267,0,0.0378,703.7548101,0.052631579,0.998906226,0.998906226,0.998906226,0.73141188,73605.11641,48.77224236,30.52920319,703.7548101,0,1.205935261,2680.934092,73524.60903,15.31762688,0,0,0,-798.3738825,338.4420029,341.2800431
