Month,BOP_AV,BOP_BB,Lives,Mortality,Lapse,PWD,RiderCharges,SurrCharges,Interest,EOP_AV,Expenses,AgentComm,IMOOverride,WholesalerOverride,BonusComp,Chargebacks,HedgeGains,NetCashflow
11,99465379.14,129166336.48,800.91367846,46179.73,17623.78,45984.22,0.00,1743.01,57214.09,99411062.49,20710.64,0.00,0.00,0.00,0.00,3022.70,1725.82,-125749.84
12,99411062.49,129081180.95,800.35238983,46052.52,17617.65,45950.44,730731.37,1742.41,57279.54,98626247.64,20547.13,0.00,0.00,0.00,0.00,3018.33,21379.12,-105770.29
13,98626247.64,138255381.34,799.62865382,52455.49,29898.19,146026.48,0.00,2795.29,2831773.77,101226845.96,21088.93,0.00,0.00,0.00,478254.16,0.00,351350.58,-376372.67
14,101226845.96,138034346.77,798.94088704,52279.58,26421.79,145881.97,0.00,2470.27,56916.02,101056708.36,21053.48,0.00,0.00,0.00,0.00,0.00,3779.86,-241856.95
15,101056708.36,137818882.61,798.24215041,52104.82,27592.79,145739.64,0.00,2579.75,56916.21,100885607.57,21017.83,0.00,0.00,0.00,0.00,0.00,3856.67,-242598.42
16,100885607.57,137602069.87,797.54453928,51930.36,27560.47,145596.73,0.00,2576.73,56916.40,100714859.68,20982.26,0.00,0.00,0.00,0.00,0.00,3891.81,-242178.01
17,100714859.68,137385698.93,796.84805078,51756.52,27528.49,145454.26,0.00,2573.74,56916.59,100544463.24,20946.76,0.00,0.00,0.00,0.00,0.00,3927.27,-241758.77
18,100544463.24,137169768.72,796.15268205,51583.29,27496.87,145312.25,0.00,2570.78,56916.78,100374416.83,20911.34,0.00,0.00,0.00,0.00,0.00,3963.07,-241340.67
19,100374416.83,136954278.13,795.45843020,51410.66,27465.60,145170.68,0.00,2567.86,56916.98,100204719.00,20875.98,0.00,0.00,0.00,0.00,0.00,3999.21,-240923.72
20,100204719.00,136739226.10,794.76529240,51238.64,27434.69,145029.56,0.00,2564.97,56917.17,100035368.31,20840.70,0.00,0.00,0.00,0.00,0.00,4035.69,-240507.91
21,100035368.31,136524611.54,794.07326579,51067.22,27404.13,144888.89,0.00,2562.11,56917.37,99866363.32,20805.49,0.00,0.00,0.00,0.00,0.00,4072.50,-240093.23
22,99866363.32,136310433.36,793.38234751,50896.40,27373.93,144748.66,0.00,2559.29,56917.56,99697702.61,20770.35,0.00,0.00,0.00,0.00,0.00,4109.67,-239679.67
23,99697702.61,136096690.50,792.69253472,50726.17,27344.08,144608.87,0.00,2556.50,56917.76,99529384.74,20735.29,0.00,0.00,0.00,0.00,0.00,4147.18,-239267.24
24,99529384.74,135883381.88,792.00382458,50505.38,27289.39,144398.64,805105.96,2551.39,56917.95,98556451.93,20532.59,0.00,0.00,0.00,0.00,0.00,25830.88,-216895.12
25,98556451.93,144449220.64,791.08242804,57599.88,47100.62,195151.35,0.00,3874.08,2835973.95,101088699.95,21060.15,0.00,0.00,0.00,0.00,0.00,353593.80,32681.81
26,101088699.95,144131576.98,790.21479887,57362.09,41696.10,194868.83,0.00,3429.55,56412.20,100847755.59,21009.95,0.00,0.00,0.00,0.00,0.00,5204.17,-309732.79
27,100847755.59,143822918.96,789.32932880,57126.21,43607.74,194590.57,0.00,3586.78,56372.50,100605216.79,20959.42,0.00,0.00,0.00,0.00,0.00,5318.01,-310965.92
28,100605216.79,143512009.36,788.44542894,56890.69,43525.57,194311.02,0.00,3580.03,56332.77,100363242.26,20909.01,0.00,0.00,0.00,0.00,0.00,5363.37,-310272.92
29,100363242.26,143201906.00,787.56309503,56656.10,43444.11,194032.39,0.00,3573.33,56293.00,100121829.32,20858.71,0.00,0.00,0.00,0.00,0.00,5409.12,-309582.20
30,100121829.32,142892606.57,786.68232285,56422.46,43363.37,193754.69,0.00,3566.68,56253.20,99880975.33,20808.54,0.00,0.00,0.00,0.00,0.00,5455.28,-308893.76
31,99880975.33,142584108.80,785.80310816,56189.74,43283.33,193477.89,0.00,3560.10,56213.36,99640677.62,20758.47,0.00,0.00,0.00,0.00,0.00,5501.85,-308207.59
32,99640677.62,142276410.38,784.92544672,55957.96,43204.00,193202.01,0.00,3553.58,56173.49,99400933.57,20708.53,0.00,0.00,0.00,0.00,0.00,5548.83,-307523.67
33,99400933.57,141969509.04,784.04933431,55727.09,43125.39,192927.05,0.00,3547.11,56133.58,99161740.51,20658.70,0.00,0.00,0.00,0.00,0.00,5596.23,-306841.99
34,99161740.51,141663402.49,783.17476666,55497.14,43047.50,192652.99,0.00,3540.70,56093.63,98923095.82,20608.98,0.00,0.00,0.00,0.00,0.00,5644.05,-306162.55
35,98923095.82,141358088.47,782.30173956,55268.10,42970.32,192379.83,0.00,3534.35,56053.65,98684996.87,20559.37,0.00,0.00,0.00,0.00,0.00,5692.29,-305485.33
36,98684996.87,141053564.70,781.43024873,54969.79,42841.79,191968.97,850701.65,3523.78,56013.62,97597004.51,20332.71,0.00,0.00,0.00,0.00,0.00,28618.06,-281495.20
37,97597004.51,149145529.83,780.22197552,62875.59,73889.70,251054.34,0.00,5263.70,2814203.36,100018124.54,20837.11,0.00,0.00,0.00,0.00,0.00,352863.10,-55793.63
38,100018124.54,148716036.51,779.09496318,62554.83,65448.89,250556.94,0.00,4662.40,55384.77,99690286.25,20768.81,0.00,0.00,0.00,0.00,0.00,6753.39,-392576.08
39,99690286.25,148300964.16,777.93930441,62237.48,68529.02,250069.10,0.00,4881.82,55295.94,99359864.77,20699.97,0.00,0.00,0.00,0.00,0.00,6918.30,-394617.27
40,99359864.77,147882122.90,776.78609403,61920.45,68333.64,249578.35,0.00,4867.90,55207.08,99030371.50,20631.33,0.00,0.00,0.00,0.00,0.00,6971.57,-393492.20
41,99030371.50,147464672.78,775.63532487,61604.88,68139.84,249089.51,0.00,4854.10,55118.19,98701801.37,20562.88,0.00,0.00,0.00,0.00,0.00,7025.26,-392371.84
42,98701801.37,147048609.04,774.48698973,61290.77,67947.63,248602.56,0.00,4840.40,55029.28,98374149.29,20494.61,0.00,0.00,0.00,0.00,0.00,7079.40,-391256.17
43,98374149.29,146633926.96,773.34108142,60978.11,67756.99,248117.50,0.00,4826.82,54940.34,98047410.21,20426.54,0.00,0.00,0.00,0.00,0.00,7133.98,-390145.17
44,98047410.21,146220621.82,772.19759270,60666.89,67567.94,247634.32,0.00,4813.36,54851.37,97721579.07,20358.66,0.00,0.00,0.00,0.00,0.00,7189.00,-389038.81
45,97721579.07,145808688.90,771.05651632,60357.10,67380.47,247153.01,0.00,4800.00,54762.37,97396650.86,20290.97,0.00,0.00,0.00,0.00,0.00,7244.47,-387937.09
46,97396650.86,145398123.51,769.91784502,60048.74,67194.58,246673.57,0.00,4786.76,54673.34,97072620.55,20223.46,0.00,0.00,0.00,0.00,0.00,7300.39,-386839.97
47,97072620.55,144988920.95,768.78157146,59741.79,67010.27,246196.00,0.00,4773.63,54584.27,96749483.12,20156.14,0.00,0.00,0.00,0.00,0.00,7356.77,-385747.44
48,96749483.12,144581076.54,767.64768833,59344.90,66726.81,245498.43,907340.28,4753.44,54495.18,95520314.45,19900.07,0.00,0.00,0.00,0.00,0.00,31825.10,-359645.10
49,95520314.45,152009266.07,766.34513842,67894.70,80494.57,269945.55,0.00,4865.21,2759887.59,97857002.00,20386.88,0.00,0.00,0.00,0.00,0.00,346512.77,-92208.94
50,97857002.00,151556816.59,765.12837533,67514.59,71413.78,269401.81,0.00,4316.36,53764.20,97498119.66,20312.11,0.00,0.00,0.00,0.00,0.00,6871.79,-421770.51
51,97498119.66,151120241.58,763.88004795,67138.68,74889.98,268869.37,0.00,4526.47,53656.82,97136351.98,20236.74,0.00,0.00,0.00,0.00,0.00,7049.02,-424085.76
52,97136351.98,150679235.73,762.63469243,66763.12,74649.52,268333.37,0.00,4511.93,53549.43,96775643.47,20161.59,0.00,0.00,0.00,0.00,0.00,7100.73,-422806.87
53,96775643.47,150239790.38,761.39229843,66389.38,74411.24,267799.64,0.00,4497.53,53442.04,96415987.72,20086.66,0.00,0.00,0.00,0.00,0.00,7152.85,-421534.07
54,96415987.72,149801899.72,760.15284212,66017.45,74176.33,267268.16,0.00,4483.33,53334.63,96057377.07,20011.95,0.00,0.00,0.00,0.00,0.00,7205.38,-420268.52
55,96057377.07,149365555.36,758.91629814,65647.33,73944.76,266738.92,0.00,4469.34,53227.21,95699803.93,19937.46,0.00,0.00,0.00,0.00,0.00,7258.37,-419010.10
56,95699803.93,148930748.90,757.68265333,65278.99,73715.53,266211.89,0.00,4455.48,53119.78,95343261.82,19863.18,0.00,0.00,0.00,0.00,0.00,7311.78,-417757.80
57,95343261.82,148497474.11,756.45184267,64912.42,73493.23,265687.05,0.00,4442.05,53012.32,94987739.41,19789.11,0.00,0.00,0.00,0.00,0.00,7365.80,-416516.01
58,94987739.41,148065714.68,755.22384453,64547.60,73273.92,265164.34,0.00,4428.79,52904.85,94633229.61,19715.26,0.00,0.00,0.00,0.00,0.00,7420.27,-415280.84
59,94633229.61,147635462.70,753.99862985,64184.53,73058.28,264643.74,0.00,4415.76,52797.36,94279724.66,19641.61,0.00,0.00,0.00,0.00,0.00,7475.17,-414052.99
60,94279724.66,147206708.76,752.77618353,63720.57,72731.28,263905.90,965165.25,4395.99,52689.85,92962495.51,19367.19,0.00,0.00,0.00,0.00,0.00,33516.47,-386208.46
61,92962495.51,154037718.73,751.36929752,72901.95,87901.73,292339.04,0.00,4382.84,2691264.65,95196234.60,19832.55,0.00,0.00,0.00,0.00,0.00,338420.25,-134555.01
62,95196234.60,153562236.60,750.05252842,72448.70,78181.02,291736.91,0.00,3898.16,51883.22,94801853.04,19750.39,0.00,0.00,0.00,0.00,0.00,6988.62,-455128.38
63,94801853.04,153104058.23,748.70137452,72000.66,82062.43,291147.32,0.00,4091.69,51754.46,94404305.39,19667.56,0.00,0.00,0.00,0.00,0.00,7177.76,-457700.21
64,94404305.39,152640781.53,747.35363214,71553.06,81783.09,290553.79,0.00,4077.77,51625.71,94007963.41,19584.99,0.00,0.00,0.00,0.00,0.00,7227.70,-456247.22
65,94007963.41,152179221.33,746.00926574,71107.75,81508.32,289962.78,0.00,4064.07,51496.98,93612817.47,19502.67,0.00,0.00,0.00,0.00,0.00,7278.07,-454803.45
66,93612817.47,151719366.11,744.66823307,70664.71,81238.69,289374.26,0.00,4050.63,51368.25,93218857.42,19420.60,0.00,0.00,0.00,0.00,0.00,7328.91,-453369.34
67,93218857.42,151261203.09,743.33051490,70223.94,80971.95,288788.18,0.00,4037.33,51239.52,92826075.54,19338.77,0.00,0.00,0.00,0.00,0.00,7380.16,-451942.68
68,92826075.54,150804724.16,741.99607257,69785.41,80709.96,288204.52,0.00,4024.27,51110.80,92434462.18,19257.18,0.00,0.00,0.00,0.00,0.00,7431.87,-450525.20
69,92434462.18,150349917.26,740.66486665,69349.10,80452.70,287623.25,0.00,4011.44,50982.08,92044007.77,19175.83,0.00,0.00,0.00,0.00,0.00,7484.05,-449116.83
70,92044007.77,149896770.25,739.33685368,68915.01,80200.59,287044.32,0.00,3998.87,50853.36,91654702.34,19094.73,0.00,0.00,0.00,0.00,0.00,7536.73,-447717.92
71,91654702.34,149445269.94,738.01202000,68483.11,79950.70,286467.70,0.00,3986.41,50724.63,91266539.05,19013.86,0.00,0.00,0.00,0.00,0.00,7589.81,-446325.57
72,91266539.05,148995409.37,736.69033571,67938.26,79575.23,285677.48,1025304.30,3967.69,50595.91,89854671.99,18719.72,0.00,0.00,0.00,0.00,0.00,35272.42,-416638.27
73,89854671.99,155208809.87,735.16617007,77777.58,96228.23,318477.99,0.00,3800.17,2606272.29,91964660.30,19159.30,0.00,0.00,0.00,0.00,0.00,328328.44,-183314.67
74,91964660.30,154710034.21,733.73712514,77235.40,85788.61,317800.69,0.00,3387.90,49706.11,91530153.81,19068.78,0.00,0.00,0.00,0.00,0.00,7096.97,-492796.51
75,91530153.81,154230125.23,732.27064048,76699.75,90112.77,317137.73,0.00,3558.67,49552.98,91092197.88,18977.54,0.00,0.00,0.00,0.00,0.00,7298.78,-495629.01
76,91092197.88,153744381.14,730.80820090,76164.68,89773.09,316470.33,0.00,3545.26,49399.91,90655644.43,18886.59,0.00,0.00,0.00,0.00,0.00,7346.00,-493948.69
77,90655644.43,153260546.39,729.34974175,75632.53,89441.06,315805.88,0.00,3532.15,49246.89,90220479.69,18795.93,0.00,0.00,0.00,0.00,0.00,7393.66,-492281.75
78,90220479.69,152778602.61,727.89524759,75103.29,89111.80,315144.31,0.00,3519.15,49093.91,89786695.06,18705.56,0.00,0.00,0.00,0.00,0.00,7441.66,-490623.30
79,89786695.06,152298541.78,726.44467071,74576.93,88788.66,314485.61,0.00,3506.39,48940.98,89354278.45,18615.47,0.00,0.00,0.00,0.00,0.00,7490.10,-488976.58
80,89354278.45,151820348.66,724.99796537,74053.44,88471.25,313829.72,0.00,3493.86,48788.10,88923218.27,18525.67,0.00,0.00,0.00,0.00,0.00,7538.97,-487341.11
81,88923218.27,151344008.72,723.55510928,73532.78,88157.07,313176.60,0.00,3481.45,48635.25,88493505.62,18436.15,0.00,0.00,0.00,0.00,0.00,7588.19,-485714.40
82,88493505.62,150869512.70,722.11608699,73014.95,87845.47,312526.22,0.00,3469.15,48482.44,88065132.26,18346.90,0.00,0.00,0.00,0.00,0.00,7637.76,-484095.79
83,88065132.26,150396852.65,720.68082849,72499.92,87542.12,311878.57,0.00,3457.17,48329.66,87638084.14,18257.93,0.00,0.00,0.00,0.00,0.00,7687.86,-482490.69
84,87638084.14,149926008.52,719.24931119,71858.94,87094.01,311022.46,1088143.98,3439.48,48176.92,86124702.19,17942.65,0.00,0.00,0.00,0.00,0.00,37092.34,-450825.72
85,86124702.19,155500620.15,717.59371460,82543.79,105247.52,348705.49,0.00,3086.49,2502747.73,88087866.64,18351.64,0.00,0.00,0.00,0.00,0.00,315967.83,-238880.61
86,88087866.64,154977995.11,716.03867699,81891.39,94043.29,347931.41,0.00,2757.91,47196.07,87608438.71,18251.76,0.00,0.00,0.00,0.00,0.00,7193.29,-534924.56
87,87608438.71,154475879.03,714.44297987,81247.26,98838.83,347173.85,0.00,2898.55,47015.43,87125295.65,18151.10,0.00,0.00,0.00,0.00,0.00,7407.92,-538003.12
88,87125295.65,153967137.92,712.85214044,80603.93,98420.28,346411.27,0.00,2886.28,46834.90,86643808.80,18050.79,0.00,0.00,0.00,0.00,0.00,7451.29,-536034.97
89,86643808.80,153460532.87,711.26613283,79964.39,98005.76,345652.20,0.00,2874.13,46654.49,86163966.82,17950.83,0.00,0.00,0.00,0.00,0.00,7494.94,-534078.23
90,86163966.82,152956052.99,709.68492326,79328.61,97596.17,344896.61,0.00,2862.12,46474.19,85685757.49,17851.20,0.00,0.00,0.00,0.00,0.00,7538.88,-532133.71
91,85685757.49,152453685.50,708.10842890,78696.58,97196.80,344144.48,0.00,2850.41,46294.00,85209163.23,17751.91,0.00,0.00,0.00,0.00,0.00,7583.33,-530206.43
92,85209163.23,151953406.32,706.53662204,78068.25,96801.55,343395.70,0.00,2838.82,46113.91,84734172.83,17652.95,0.00,0.00,0.00,0.00,0.00,7628.08,-528290.36
93,84734172.83,151455204.03,704.96943141,77443.59,96415.34,342650.25,0.00,2827.50,45933.93,84260770.07,17554.33,0.00,0.00,0.00,0.00,0.00,7673.26,-526390.25
94,84260770.07,150959056.74,703.40681377,76822.59,96034.74,341908.05,0.00,2816.34,45754.05,83788942.40,17456.03,0.00,0.00,0.00,0.00,0.00,7718.80,-524502.61
95,83788942.40,150464949.66,701.84872737,76205.20,95659.45,341169.05,0.00,2805.34,45574.25,83318677.62,17358.06,0.00,0.00,0.00,0.00,0.00,7764.67,-522627.09
96,83318677.62,149972868.43,700.29510958,75447.21,95121.80,340228.18,1153214.04,2789.57,45394.55,81697271.37,17020.26,0.00,0.00,0.00,0.00,0.00,38964.07,-488853.38
97,81697271.37,154889685.75,698.51168151,86470.87,112795.47,396695.19,0.00,2183.67,2377952.95,83477079.11,17391.06,0.00,0.00,0.00,0.00,0.00,300896.26,-312456.33
98,83477079.11,154352334.45,696.83310834,85682.18,101004.77,395791.46,0.00,1955.41,44298.96,82936944.26,17278.53,0.00,0.00,0.00,0.00,0.00,7132.24,-592624.69
99,82936944.26,153836780.21,695.11151839,84903.94,106142.97,394907.77,0.00,2054.89,44081.07,82393015.76,17165.21,0.00,0.00,0.00,0.00,0.00,7353.56,-595766.34
100,82393015.76,153313978.76,693.39593492,84126.92,105597.57,394018.34,0.00,2044.33,43863.41,81851092.00,17052.31,0.00,0.00,0.00,0.00,0.00,7389.74,-593405.41
101,81851092.00,152793576.35,691.68630126,83354.89,105060.46,393133.34,0.00,2033.94,43645.96,81311155.34,16939.82,0.00,0.00,0.00,0.00,0.00,7426.18,-591062.34
102,81311155.34,152275553.75,689.98253271,82587.79,104534.87,392252.73,0.00,2023.77,43428.73,80773184.92,16827.75,0.00,0.00,0.00,0.00,0.00,7463.00,-588740.13
103,80773184.92,151759884.72,688.28459628,81825.59,104014.50,391376.39,0.00,2013.70,43211.70,80237166.44,16716.08,0.00,0.00,0.00,0.00,0.00,7500.02,-586432.54
104,80237166.44,151246556.02,686.59243243,81068.24,103502.00,390504.31,0.00,2003.78,42994.88,79703082.99,16604.81,0.00,0.00,0.00,0.00,0.00,7537.35,-584142.01
105,79703082.99,150735548.80,684.90597333,80315.70,102998.31,389636.41,0.00,1994.03,42778.25,79170916.78,16493.94,0.00,0.00,0.00,0.00,0.00,7575.04,-581869.33
106,79170916.78,150226842.09,683.22516932,79567.93,102501.41,388772.61,0.00,1984.41,42561.82,78640652.24,16383.47,0.00,0.00,0.00,0.00,0.00,7613.02,-579612.40
107,78640652.24,149720418.91,681.54999496,78824.89,102008.58,387912.86,0.00,1974.87,42345.58,78112276.62,16273.39,0.00,0.00,0.00,0.00,0.00,7651.19,-577368.54
108,78112276.62,149216267.90,679.88033797,77928.01,101338.89,386865.73,1251462.48,1961.91,42129.54,76334849.14,15903.09,0.00,0.00,0.00,0.00,0.00,41571.09,-540464.64
109,76334849.14,153322935.46,677.95561422,89909.69,119701.57,444946.03,0.00,1147.29,2225645.10,77904789.67,16230.16,0.00,0.00,0.00,0.00,0.00,282422.90,-388364.55
110,77904789.67,152769035.38,676.13922002,88954.42,107470.41,443878.78,0.00,1030.06,40902.58,77304358.58,16105.07,0.00,0.00,0.00,0.00,0.00,7050.99,-649357.69
111,77304358.58,152237960.79,674.27780364,88012.32,112905.66,442834.57,0.00,1082.16,40646.80,76700170.67,15979.20,0.00,0.00,0.00,0.00,0.00,7276.24,-652455.51
112,76700170.67,151699099.04,672.42379576,87072.16,112213.76,441783.94,0.00,1075.53,40391.38,76098416.67,15853.84,0.00,0.00,0.00,0.00,0.00,7303.71,-649619.98
113,76098416.67,151162945.39,670.57715560,86138.59,111528.63,440738.92,0.00,1068.97,40136.32,75499077.88,15728.97,0.00,0.00,0.00,0.00,0.00,7331.29,-646803.83
114,75499077.88,150629484.12,668.73782294,85211.56,110852.12,439699.47,0.00,1062.48,39881.60,74902133.85,15604.61,0.00,0.00,0.00,0.00,0.00,7359.04,-644008.72
115,74902133.85,150098695.60,666.90569700,84290.99,110188.90,438665.53,0.00,1056.13,39627.24,74307559.54,15480.74,0.00,0.00,0.00,0.00,0.00,7387.14,-641239.03
116,74307559.54,149570550.30,665.08072044,83376.83,109534.02,437636.96,0.00,1049.85,39373.23,73715335.10,15357.36,0.00,0.00,0.00,0.00,0.00,7415.40,-638489.77
117,73715335.10,149045028.70,663.26279233,82469.01,108892.66,436613.71,0.00,1043.71,39119.55,73125435.57,15234.47,0.00,0.00,0.00,0.00,0.00,7444.04,-635765.81
118,73125435.57,148522100.41,661.45180986,81567.47,108264.59,435595.65,0.00,1037.69,38866.22,72537836.38,15112.05,0.00,0.00,0.00,0.00,0.00,7472.96,-633066.80
119,72537836.38,148001735.05,659.64755105,80672.16,107664.83,434582.65,0.00,1031.95,38613.21,71952498.01,14990.10,0.00,0.00,0.00,0.00,0.00,7502.69,-630407.04
120,71952498.01,147483870.78,657.84989246,79608.41,106866.15,433396.91,1336260.80,1024.29,38360.53,70033722.94,14590.36,0.00,0.00,0.00,0.00,0.00,43931.46,-590530.37
121,70033722.94,150819657.27,636.23459932,91303.30,2520308.18,434683.87,0.00,0.00,2029043.72,69017696.75,14378.69,0.00,0.00,0.00,0.00,0.00,326857.30,-2733816.73
122,69017696.75,145832093.25,621.82856352,87160.85,1632822.66,426797.32,0.00,0.00,18069.13,66890778.33,13935.58,0.00,0.00,0.00,0.00,0.00,22626.41,-2138090.00
123,66890778.33,142466939.53,611.67566320,84203.21,1121650.87,421197.25,0.00,0.00,17556.59,65285477.34,13601.14,0.00,0.00,0.00,0.00,0.00,16505.22,-1624147.25
124,65285477.34,140062492.46,610.31060676,82055.38,61455.19,417270.65,0.00,0.00,17182.23,64747105.79,13488.98,0.00,0.00,0.00,0.00,0.00,2799.35,-571470.86
125,64747105.79,139625172.04,608.95052646,81130.82,61143.02,416361.71,0.00,0.00,17050.28,64210720.70,13377.23,0.00,0.00,0.00,0.00,0.00,2811.20,-569201.58
126,64210720.70,139189860.41,607.59538082,80219.93,60835.01,415456.67,0.00,0.00,16919.01,63677689.60,13266.19,0.00,0.00,0.00,0.00,0.00,2823.12,-566954.68
127,63677689.60,138756542.18,606.24551651,79318.85,60535.54,414555.47,0.00,0.00,16788.07,63147271.14,13155.68,0.00,0.00,0.00,0.00,0.00,2835.28,-564730.27
128,63147271.14,138325271.91,604.90046445,78423.98,60239.85,413658.53,0.00,0.00,16657.45,62618772.07,13045.58,0.00,0.00,0.00,0.00,0.00,2847.58,-562520.35
129,62618772.07,137895953.88,603.56013250,77535.25,59954.65,412765.28,0.00,0.00,16527.15,62092172.60,12935.87,0.00,0.00,0.00,0.00,0.00,2860.06,-560330.99
130,62092172.60,137468558.56,602.22447590,76652.63,59673.45,411875.60,0.00,0.00,16397.17,61567459.60,12826.55,0.00,0.00,0.00,0.00,0.00,2872.63,-558155.60
131,61567459.60,137043069.60,600.89346566,75779.46,59394.29,410989.45,0.00,0.00,16267.51,61045274.67,12717.77,0.00,0.00,0.00,0.00,0.00,2885.24,-555995.72
132,61045274.67,136619474.91,599.56725627,74749.56,59005.35,409960.70,1234475.17,0.00,16138.20,59291163.67,12352.33,0.00,0.00,0.00,0.00,0.00,19777.77,-536290.16
133,59291163.67,136197797.56,597.17285185,84016.27,154390.31,540030.27,0.00,0.00,867959.39,59391450.58,12373.22,0.00,0.00,0.00,0.00,0.00,111426.07,-679384.00
134,59391450.58,135603280.82,594.81497876,82688.14,150536.92,538298.31,0.00,0.00,15428.48,58646589.23,12218.04,0.00,0.00,0.00,0.00,0.00,3543.20,-780198.21
135,58646589.23,135017207.48,592.43816840,81375.38,152766.18,536583.97,0.00,0.00,15242.80,57902865.26,12063.10,0.00,0.00,0.00,0.00,0.00,3604.53,-779184.10
136,57902865.26,134428541.35,590.07844295,80073.04,150912.10,534870.97,0.00,0.00,15058.92,57164588.59,11909.29,0.00,0.00,0.00,0.00,0.00,3600.09,-774165.32
137,57164588.59,133844516.49,587.73532463,78789.78,149080.86,533172.43,0.00,0.00,14875.92,56431958.36,11756.66,0.00,0.00,0.00,0.00,0.00,3595.55,-769204.18
138,56431958.36,133265009.22,585.40773872,77530.67,147275.72,531487.93,0.00,0.00,14693.92,55708025.94,11605.84,0.00,0.00,0.00,0.00,0.00,3591.06,-764309.10
139,55708025.94,132689802.07,583.10456473,76300.67,145504.68,529816.16,0.00,0.00,14513.91,54994375.69,11457.16,0.00,0.00,0.00,0.00,0.00,3586.73,-759491.94
140,54994375.69,132120686.41,580.81685526,75082.42,143791.31,528167.19,0.00,0.00,14334.74,54285035.65,11309.38,0.00,0.00,0.00,0.00,0.00,3582.64,-754767.66
141,54285035.65,131555828.86,578.54356423,73876.75,142136.21,526530.81,0.00,0.00,14156.35,53580291.37,11162.56,0.00,0.00,0.00,0.00,0.00,3578.47,-750127.86
142,53580291.37,130994990.54,576.28836549,72692.43,140509.10,524905.77,0.00,0.00,13978.70,52883393.91,11017.37,0.00,0.00,0.00,0.00,0.00,3574.24,-745550.43
143,52883393.91,130438917.08,574.04730622,71522.19,138902.36,523296.34,0.00,0.00,13804.28,52192811.99,10873.50,0.00,0.00,0.00,0.00,0.00,3570.18,-741024.20
144,52192811.99,129886783.56,571.82445810,70170.67,136959.16,521567.18,1357060.99,0.00,13632.91,50153381.43,10448.62,0.00,0.00,0.00,0.00,0.00,22418.54,-716727.10
145,50153381.43,129339440.35,569.43183441,78780.66,139914.73,520725.60,0.00,0.00,735494.92,50185790.05,10455.37,0.00,0.00,0.00,0.00,0.00,94796.45,-655079.91
146,50185790.05,128758410.97,567.07881137,77455.90,135666.88,519004.64,0.00,0.00,12916.25,49503080.71,10313.14,0.00,0.00,0.00,0.00,0.00,3248.25,-739192.32
147,49503080.71,128186459.15,564.70863356,76148.94,137806.72,517306.06,0.00,0.00,12748.33,48822019.80,10171.25,0.00,0.00,0.00,0.00,0.00,3303.00,-738129.97
148,48822019.80,127612348.41,562.35489523,74865.65,136323.38,515609.75,0.00,0.00,12582.04,48155141.07,10032.32,0.00,0.00,0.00,0.00,0.00,3299.30,-733531.81
149,48155141.07,127042640.35,560.02625968,73601.93,134874.90,513925.98,0.00,0.00,12416.49,47494982.71,9894.79,0.00,0.00,0.00,0.00,0.00,3296.18,-729001.42
150,47494982.71,126479110.22,557.71326749,72352.81,133536.25,512263.79,0.00,0.00,12251.69,46839406.87,9758.21,0.00,0.00,0.00,0.00,0.00,3294.75,-724616.31
151,46839406.87,125919762.30,555.41338579,71119.05,132243.22,510613.17,0.00,0.00,12087.62,46189796.16,9622.87,0.00,0.00,0.00,0.00,0.00,3293.81,-720304.49
