Month,BOP_AV,BOP_BB,Lives,Mortality,Lapse,PWD,RiderCharges,SurrCharges,Interest,EOP_AV,Expenses,AgentComm,IMOOverride,WholesalerOverride,BonusComp,Chargebacks,HedgeGains,NetCashflow,Calculated
38,100018124.5,148716036.5,779.0949632,62554.83,65448.89,250556.94,0,4662.4,55384.77,99690286.25,20768.81,0,0,0,0,0,6753.39,-369920.78,-392576.08
39,99690286.25,148300964.2,777.9393044,62237.48,68529.02,250069.1,0,4881.82,55295.94,99359864.77,20699.97,0,0,0,0,0,6918.3,-372793.19,-394617.27
40,99359864.77,147882122.9,776.786094,61920.45,68333.64,249578.35,0,4867.9,55207.08,99030371.5,20631.33,0,0,0,0,0,6971.57,-371205.35,-393492.2
41,99030371.5,147464672.8,775.6353249,61604.88,68139.84,249089.51,0,4854.1,55118.19,98701801.37,20562.88,0,0,0,0,0,7025.26,-369625.03,-392371.85
42,98701801.37,147048609,774.4869897,61290.77,67947.63,248602.56,0,4840.4,55029.28,98374149.29,20494.61,0,0,0,0,0,7079.4,-368052.18,-391256.17
43,98374149.29,146633927,773.3410814,60978.11,67756.99,248117.5,0,4826.82,54940.34,98047410.21,20426.54,0,0,0,0,0,7133.98,-366486.75,-390145.16
44,98047410.21,146220621.8,772.1975927,60666.89,67567.94,247634.32,0,4813.36,54851.37,97721579.07,20358.66,0,0,0,0,0,7189,-364928.71,-389038.81
45,97721579.07,145808688.9,771.0565163,60357.1,67380.47,247153.01,0,4800,54762.37,97396650.86,20290.97,0,0,0,0,0,7244.47,-363377.99,-387937.08
46,97396650.86,145398123.5,769.917845,60048.74,67194.58,246673.57,0,4786.76,54673.34,97072620.55,20223.46,0,0,0,0,0,7300.39,-361834.56,-386839.96
47,97072620.55,144988921,768.7815715,59741.79,67010.27,246196,0,4773.63,54584.27,96749483.12,20156.14,0,0,0,0,0,7356.77,-360298.36,-385747.43
48,96749483.12,144581076.5,767.6476883,59344.9,66726.81,245498.43,907340.28,4753.44,54495.18,95520314.45,19900.07,0,0,0,0,0,31825.1,-333713.57,-359645.11
49,95520314.45,152009266.1,766.3451384,67894.7,80494.57,269945.55,0,4865.21,2759887.59,97857002,20386.88,0,0,0,0,0,346512.77,-55624.43,-92208.93
50,97857002,151556816.6,765.1283753,67514.59,71413.78,269401.81,0,4316.36,53764.2,97498119.66,20312.11,0,0,0,0,0,6871.79,-382900.58,-421770.5
51,97498119.66,151120241.6,763.880048,67138.68,74889.98,268869.37,0,4526.47,53656.82,97136351.98,20236.74,0,0,0,0,0,7049.02,-386264.47,-424085.75
52,97136351.98,150679235.7,762.6346924,66763.12,74649.52,268333.37,0,4511.93,53549.43,96775643.47,20161.59,0,0,0,0,0,7100.73,-384511.73,-422806.87
53,96775643.47,150239790.4,761.3922984,66389.38,74411.24,267799.64,0,4497.53,53442.04,96415987.72,20086.66,0,0,0,0,0,7152.85,-382768.12,-421534.07
54,96415987.72,149801899.7,760.1528421,66017.45,74176.33,267268.16,0,4483.33,53334.63,96057377.07,20011.95,0,0,0,0,0,7205.38,-381033.88,-420268.51
55,96057377.07,149365555.4,758.9162981,65647.33,73944.76,266738.92,0,4469.34,53227.21,95699803.93,19937.46,0,0,0,0,0,7258.37,-379308.76,-419010.1
56,95699803.93,148930748.9,757.6826533,65278.99,73715.53,266211.89,0,4455.48,53119.78,95343261.82,19863.18,0,0,0,0,0,7311.78,-377592.59,-417757.81
57,95343261.82,148497474.1,756.4518427,64912.42,73493.23,265687.05,0,4442.05,53012.32,94987739.41,19789.11,0,0,0,0,0,7365.8,-375888.58,-416516.01
58,94987739.41,148065714.7,755.2238445,64547.6,73273.92,265164.34,0,4428.79,52904.85,94633229.61,19715.26,0,0,0,0,0,7420.27,-374193.72,-415280.85
59,94633229.61,147635462.7,753.9986299,64184.53,73058.28,264643.74,0,4415.76,52797.36,94279724.66,19641.61,0,0,0,0,0,7475.17,-372507.81,-414052.99
60,94279724.66,147206708.8,752.7761835,63720.57,72731.28,263905.9,965165.25,4395.99,52689.85,92962495.51,19367.19,0,0,0,0,0,33516.47,-344165.07,-386208.47
61,92962495.51,154037718.7,751.3692975,72901.95,87901.73,292339.04,0,4382.84,2691264.65,95196234.6,19832.55,0,0,0,0,0,338420.25,-80460.5,-134555.02
62,95196234.6,153562236.6,750.0525284,72448.7,78181.02,291736.91,0,3898.16,51883.22,94801853.04,19750.39,0,0,0,0,0,6988.62,-398382,-455128.4
63,94801853.04,153104058.2,748.7013745,72000.66,82062.43,291147.32,0,4091.69,51754.46,94404305.39,19667.56,0,0,0,0,0,7177.76,-402278.21,-457700.21
64,94404305.39,152640781.5,747.3536321,71553.06,81783.09,290553.79,0,4077.77,51625.71,94007963.41,19584.99,0,0,0,0,0,7227.7,-400331.51,-456247.23
65,94007963.41,152179221.3,746.0092657,71107.75,81508.32,289962.78,0,4064.07,51496.98,93612817.47,19502.67,0,0,0,0,0,7278.07,-398396.11,-454803.45
66,93612817.47,151719366.1,744.6682331,70664.71,81238.69,289374.26,0,4050.63,51368.25,93218857.42,19420.6,0,0,0,0,0,7328.91,-396472.11,-453369.35
67,93218857.42,151261203.1,743.3305149,70223.94,80971.95,288788.18,0,4037.33,51239.52,92826075.54,19338.77,0,0,0,0,0,7380.16,-394558.52,-451942.68
68,92826075.54,150804724.2,741.9960726,69785.41,80709.96,288204.52,0,4024.27,51110.8,92434462.18,19257.18,0,0,0,0,0,7431.87,-392656.15,-450525.2
69,92434462.18,150349917.3,740.6648667,69349.1,80452.7,287623.25,0,4011.44,50982.08,92044007.77,19175.83,0,0,0,0,0,7484.05,-390764.72,-449116.83
70,92044007.77,149896770.3,739.3368537,68915.01,80200.59,287044.32,0,3998.87,50853.36,91654702.34,19094.73,0,0,0,0,0,7536.73,-388884,-447717.92
71,91654702.34,149445269.9,738.01202,68483.11,79950.7,286467.7,0,3986.41,50724.63,91266539.05,19013.86,0,0,0,0,0,7589.81,-387013.25,-446325.56
72,91266539.05,148995409.4,736.6903357,67938.26,79575.23,285677.48,1025304.3,3967.69,50595.91,89854671.99,18719.72,0,0,0,0,0,35272.42,-356804.3,-416638.27
73,89854671.99,155208809.9,735.1661701,77777.58,96228.23,318477.99,0,3800.17,2606272.29,91964660.3,19159.3,0,0,0,0,0,328328.44,-110475.55,-183314.66
74,91964660.3,154710034.2,733.7371251,77235.4,85788.61,317800.69,0,3387.9,49706.11,91530153.81,19068.78,0,0,0,0,0,7096.97,-416826.79,-492796.51
75,91530153.81,154230125.2,732.2706405,76699.75,90112.77,317137.73,0,3558.67,49552.98,91092197.88,18977.54,0,0,0,0,0,7298.78,-421338.14,-495629.01
76,91092197.88,153744381.1,730.8082009,76164.68,89773.09,316470.33,0,3545.26,49399.91,90655644.43,18886.59,0,0,0,0,0,7346,-419135.33,-493948.69
77,90655644.43,153260546.4,729.3497418,75632.53,89441.06,315805.88,0,3532.15,49246.89,90220479.69,18795.93,0,0,0,0,0,7393.66,-416947.17,-492281.74
78,90220479.69,152778602.6,727.8952476,75103.29,89111.8,315144.31,0,3519.15,49093.91,89786695.06,18705.56,0,0,0,0,0,7441.66,-414771.96,-490623.3
79,89786695.06,152298541.8,726.4446707,74576.93,88788.66,314485.61,0,3506.39,48940.98,89354278.45,18615.47,0,0,0,0,0,7490.1,-412610.52,-488976.57
80,89354278.45,151820348.7,724.9979654,74053.44,88471.25,313829.72,0,3493.86,48788.1,88923218.27,18525.67,0,0,0,0,0,7538.97,-410462.29,-487341.11
81,88923218.27,151344008.7,723.5551093,73532.78,88157.07,313176.6,0,3481.45,48635.25,88493505.62,18436.15,0,0,0,0,0,7588.19,-408326.67,-485714.41
82,88493505.62,150869512.7,722.116087,73014.95,87845.47,312526.22,0,3469.15,48482.44,88065132.26,18346.9,0,0,0,0,0,7637.76,-406203.55,-484095.78
83,88065132.26,150396852.7,720.6808285,72499.92,87542.12,311878.57,0,3457.17,48329.66,87638084.14,18257.93,0,0,0,0,0,7687.86,-404095.45,-482490.68
84,87638084.14,149926008.5,719.2493112,71858.94,87094.01,311022.46,1088143.98,3439.48,48176.92,86124702.19,17942.65,0,0,0,0,0,37092.34,-371881.41,-450825.72
85,86124702.19,155500620.2,717.5937146,82543.79,105247.52,348705.49,0,3086.49,2502747.73,88087866.64,18351.64,0,0,0,0,0,315967.83,-146166.04,-238880.61
86,88087866.64,154977995.1,716.038677,81891.39,94043.29,347931.41,0,2757.91,47196.07,87608438.71,18251.76,0,0,0,0,0,7193.29,-438491.25,-534924.56
87,87608438.71,154475879,714.4429799,81247.26,98838.83,347173.85,0,2898.55,47015.43,87125295.65,18151.1,0,0,0,0,0,7407.92,-443679.79,-538003.12
88,87125295.65,153967137.9,712.8521404,80603.93,98420.28,346411.27,0,2886.28,46834.9,86643808.8,18050.79,0,0,0,0,0,7451.29,-441153.8,-536034.98
89,86643808.8,153460532.9,711.2661328,79964.39,98005.76,345652.2,0,2874.13,46654.49,86163966.82,17950.83,0,0,0,0,0,7494.94,-438644.51,-534078.24
90,86163966.82,152956053,709.6849233,79328.61,97596.17,344896.61,0,2862.12,46474.19,85685757.49,17851.2,0,0,0,0,0,7538.88,-436151.89,-532133.71
91,85685757.49,152453685.5,708.1084289,78696.58,97196.8,344144.48,0,2850.41,46294,85209163.23,17751.91,0,0,0,0,0,7583.33,-433679.04,-530206.44
92,85209163.23,151953406.3,706.536622,78068.25,96801.55,343395.7,0,2838.82,46113.91,84734172.83,17652.95,0,0,0,0,0,7628.08,-431222.65,-528290.37
93,84734172.83,151455204,704.9694314,77443.59,96415.34,342650.25,0,2827.5,45933.93,84260770.07,17554.33,0,0,0,0,0,7673.26,-428784.45,-526390.25
94,84260770.07,150959056.7,703.4068138,76822.59,96034.74,341908.05,0,2816.34,45754.05,83788942.4,17456.03,0,0,0,0,0,7718.8,-426362.66,-524502.61
95,83788942.4,150464949.7,701.8487274,76205.2,95659.45,341169.05,0,2805.34,45574.25,83318677.62,17358.06,0,0,0,0,0,7764.67,-423956.7,-522627.09
96,83318677.62,149972868.4,700.2951096,75447.21,95121.8,340228.18,1153214.04,2789.57,45394.55,81697271.37,17020.26,0,0,0,0,0,38964.07,-389598.22,-488853.38
97,81697271.37,154889685.8,698.5116815,86470.87,112795.47,396695.19,0,2183.67,2377952.95,83477079.11,17391.06,0,0,0,0,0,300896.26,-208261.86,-312456.33
98,83477079.11,154352334.5,696.8331083,85682.18,101004.77,395791.46,0,1955.41,44298.96,82936944.26,17278.53,0,0,0,0,0,7132.24,-484122.06,-592624.7
99,82936944.26,153836780.2,695.1115184,84903.94,106142.97,394907.77,0,2054.89,44081.07,82393015.76,17165.21,0,0,0,0,0,7353.56,-489747.32,-595766.33
100,82393015.76,153313978.8,693.3959349,84126.92,105597.57,394018.34,0,2044.33,43863.41,81851092,17052.31,0,0,0,0,0,7389.74,-486747.72,-593405.4
101,81851092,152793576.4,691.6863013,83354.89,105060.46,393133.34,0,2033.94,43645.96,81311155.34,16939.82,0,0,0,0,0,7426.18,-483772.5,-591062.33
102,81311155.34,152275553.8,689.9825327,82587.79,104534.87,392252.73,0,2023.77,43428.73,80773184.92,16827.75,0,0,0,0,0,7463,-480823.13,-588740.14
103,80773184.92,151759884.7,688.2845963,81825.59,104014.5,391376.39,0,2013.7,43211.7,80237166.44,16716.08,0,0,0,0,0,7500.02,-477896.11,-586432.54
104,80237166.44,151246556,686.5924324,81068.24,103502,390504.31,0,2003.78,42994.88,79703082.99,16604.81,0,0,0,0,0,7537.35,-474991.45,-584142.01
105,79703082.99,150735548.8,684.9059733,80315.7,102998.31,389636.41,0,1994.03,42778.25,79170916.78,16493.94,0,0,0,0,0,7575.04,-472109.68,-581869.32
106,79170916.78,150226842.1,683.2251693,79567.93,102501.41,388772.61,0,1984.41,42561.82,78640652.24,16383.47,0,0,0,0,0,7613.02,-469250.2,-579612.4
107,78640652.24,149720418.9,681.549995,78824.89,102008.58,387912.86,0,1974.87,42345.58,78112276.62,16273.39,0,0,0,0,0,7651.19,-466412.12,-577368.53
108,78112276.62,149216267.9,679.880338,77928.01,101338.89,386865.73,1251462.48,1961.91,42129.54,76334849.14,15903.09,0,0,0,0,0,41571.09,-428858.78,-540464.63
109,76334849.14,153322935.5,677.9556142,89909.69,119701.57,444946.03,0,1147.29,2225645.1,77904789.67,16230.16,0,0,0,0,0,282422.9,-268163.54,-388364.55
110,77904789.67,152769035.4,676.13922,88954.42,107470.41,443878.78,0,1030.06,40902.58,77304358.58,16105.07,0,0,0,0,0,7050.99,-524135.43,-649357.69
111,77304358.58,152237960.8,674.2778036,88012.32,112905.66,442834.57,0,1082.16,40646.8,76700170.67,15979.2,0,0,0,0,0,7276.24,-530198.14,-652455.51
112,76700170.67,151699099,672.4237958,87072.16,112213.76,441783.94,0,1075.53,40391.38,76098416.67,15853.84,0,0,0,0,0,7303.71,-526653.57,-649619.99
113,76098416.67,151162945.4,670.5771556,86138.59,111528.63,440738.92,0,1068.97,40136.32,75499077.88,15728.97,0,0,0,0,0,7331.29,-523139.86,-646803.82
114,75499077.88,150629484.1,668.7378229,85211.56,110852.12,439699.47,0,1062.48,39881.6,74902133.85,15604.61,0,0,0,0,0,7359.04,-519656.83,-644008.72
115,74902133.85,150098695.6,666.905697,84290.99,110188.9,438665.53,0,1056.13,39627.24,74307559.54,15480.74,0,0,0,0,0,7387.14,-516205.79,-641239.02
116,74307559.54,149570550.3,665.0807204,83376.83,109534.02,437636.96,0,1049.85,39373.23,73715335.1,15357.36,0,0,0,0,0,7415.4,-512785.21,-638489.77
117,73715335.1,149045028.7,663.2627923,82469.01,108892.66,436613.71,0,1043.71,39119.55,73125435.57,15234.47,0,0,0,0,0,7444.04,-509398.99,-635765.81
118,73125435.57,148522100.4,661.4518099,81567.47,108264.59,435595.65,0,1037.69,38866.22,72537836.38,15112.05,0,0,0,0,0,7472.96,-506045.34,-633066.8
119,72537836.38,148001735.1,659.6475511,80672.16,107664.83,434582.65,0,1031.95,38613.21,71952498.01,14990.1,0,0,0,0,0,7502.69,-502749.16,-630407.05
120,71952498.01,147483870.8,657.8498925,79608.41,106866.15,433396.91,1336260.8,1024.29,38360.53,70033722.94,14590.36,0,0,0,0,0,43931.46,-462175.95,-590530.37
121,70033722.94,150819657.3,636.2345993,91303.3,2520308.18,434683.87,0,0,2029043.72,69017696.75,14378.69,0,0,0,0,0,326857.3,-3407802.57,-2733816.74
122,69017696.75,145832093.3,621.8285635,87160.85,1632822.66,426797.32,0,0,18069.13,66890778.33,13935.58,0,0,0,0,0,22626.41,-2395293.15,-2138090
123,66890778.33,142466939.5,611.6756632,84203.21,1121650.87,421197.25,0,0,17556.59,65285477.34,13601.14,0,0,0,0,0,16505.22,-1712144.02,-1624147.25
124,65285477.34,140062492.5,610.3106068,82055.38,61455.19,417270.65,0,0,17182.23,64747105.79,13488.98,0,0,0,0,0,2799.35,-405012.9,-571470.85
125,64747105.79,139625172,608.9505265,81130.82,61143.02,416361.71,0,0,17050.28,64210720.7,13377.23,0,0,0,0,0,2811.2,-402759.75,-569201.58
126,64210720.7,139189860.4,607.5953808,80219.93,60835.01,415456.67,0,0,16919.01,63677689.6,13266.19,0,0,0,0,0,2823.12,-400524.15,-566954.68
127,63677689.6,138756542.2,606.2455165,79318.85,60535.54,414555.47,0,0,16788.07,63147271.14,13155.68,0,0,0,0,0,2835.28,-398309.29,-564730.26
128,63147271.14,138325271.9,604.9004645,78423.98,60239.85,413658.53,0,0,16657.45,62618772.07,13045.58,0,0,0,0,0,2847.58,-396112.35,-562520.36
129,62618772.07,137895953.9,603.5601325,77535.25,59954.65,412765.28,0,0,16527.15,62092172.6,12935.87,0,0,0,0,0,2860.06,-393941.87,-560330.99
130,62092172.6,137468558.6,602.2244759,76652.63,59673.45,411875.6,0,0,16397.17,61567459.6,12826.55,0,0,0,0,0,2872.63,-391786.91,-558155.6
131,61567459.6,137043069.6,600.8934657,75779.46,59394.29,410989.45,0,0,16267.51,61045274.67,12717.77,0,0,0,0,0,2885.24,-389646.81,-555995.73
132,61045274.67,136619474.9,599.5672563,74749.56,59005.35,409960.7,1234475.17,0,16138.2,59291163.67,12352.33,0,0,0,0,0,19777.77,-369988.72,-536290.17
133,59291163.67,136197797.6,597.1728519,84016.27,154390.31,540030.27,0,0,867959.39,59391450.58,12373.22,0,0,0,0,0,111426.07,-567100.48,-679384
134,59391450.58,135603280.8,594.8149788,82688.14,150536.92,538298.31,0,0,15428.48,58646589.23,12218.04,0,0,0,0,0,3543.2,-666335.51,-780198.21
135,58646589.23,135017207.5,592.4381684,81375.38,152766.18,536583.97,0,0,15242.8,57902865.26,12063.1,0,0,0,0,0,3604.53,-665219.84,-779184.1
136,57902865.26,134428541.4,590.078443,80073.04,150912.1,534870.97,0,0,15058.92,57164588.59,11909.29,0,0,0,0,0,3600.09,-658748.76,-774165.31
137,57164588.59,133844516.5,587.7353246,78789.78,149080.86,533172.43,0,0,14875.92,56431958.36,11756.66,0,0,0,0,0,3595.55,-652372.79,-769204.18
138,56431958.36,133265009.2,585.4077387,77530.67,147275.72,531487.93,0,0,14693.92,55708025.94,11605.84,0,0,0,0,0,3591.06,-646099.92,-764309.1
139,55708025.94,132689802.1,583.1045647,76300.67,145504.68,529816.16,0,0,14513.91,54994375.69,11457.16,0,0,0,0,0,3586.73,-639931.88,-759491.94
140,54994375.69,132120686.4,580.8168553,75082.42,143791.31,528167.19,0,0,14334.74,54285035.65,11309.38,0,0,0,0,0,3582.64,-633882.49,-754767.66
141,54285035.65,131555828.9,578.5435642,73876.75,142136.21,526530.81,0,0,14156.35,53580291.37,11162.56,0,0,0,0,0,3578.47,-627949.97,-750127.86
142,53580291.37,130994990.5,576.2883655,72692.43,140509.1,524905.77,0,0,13978.7,52883393.91,11017.37,0,0,0,0,0,3574.24,-622108.32,-745550.43
143,52883393.91,130438917.1,574.0473062,71522.19,138902.36,523296.34,0,0,13804.28,52192811.99,10873.5,0,0,0,0,0,3570.18,-616353.76,-741024.21
144,52192811.99,129886783.6,571.8244581,70170.67,136959.16,521567.18,1357060.99,0,13632.91,50153381.43,10448.62,0,0,0,0,0,22418.54,-590936.86,-716727.09
145,50153381.43,129339440.4,569.4318344,78780.66,139914.73,520725.6,0,0,735494.92,50185790.05,10455.37,0,0,0,0,0,94796.45,-526041.3,-655079.91
146,50185790.05,128758411,567.0788114,77455.9,135666.88,519004.64,0,0,12916.25,49503080.71,10313.14,0,0,0,0,0,3248.25,-608447.5,-739192.31
147,49503080.71,128186459.2,564.7086336,76148.94,137806.72,517306.06,0,0,12748.33,48822019.8,10171.25,0,0,0,0,0,3303,-607208.31,-738129.97
148,48822019.8,127612348.4,562.3548952,74865.65,136323.38,515609.75,0,0,12582.04,48155141.07,10032.32,0,0,0,0,0,3299.3,-601514.02,-733531.8
149,48155141.07,127042640.4,560.0262597,73601.93,134874.9,513925.98,0,0,12416.49,47494982.71,9894.79,0,0,0,0,0,3296.18,-595928.64,-729001.42
150,47494982.71,126479110.2,557.7132675,72352.81,133536.25,512263.79,0,0,12251.69,46839406.87,9758.21,0,0,0,0,0,3294.75,-590674.54,-724616.31
151,46839406.87,125919762.3,555.4133858,71119.05,132243.22,510613.17,0,0,12087.62,46189796.16,9622.87,0,0,0,0,0,3293.81,-585517.87,-720304.5
152,46189796.16,125364034.5,553.1315459,69911.23,130974.93,508970.99,0,0,11925.96,45549424.82,9489.46,0,0,0,0,0,3293.01,-580430.43,-716053.6
153,45549424.82,124812962.2,550.8657646,68720.75,129716.99,507342.74,0,0,11766.47,44914449.35,9357.18,0,0,0,0,0,3292.36,-575400.68,-711845.3
154,44914449.35,124266126.5,548.6136691,67548,128468.88,505726.78,0,0,11609.07,44284461.45,9225.93,0,0,0,0,0,3291.64,-570424.23,-707677.95
155,44284461.45,123723021,546.3770984,66397.8,127234.3,504120.32,0,0,11453.33,43662749.3,9096.41,0,0,0,0,0,3290.8,-565502.48,-703558.03
156,43662749.3,123184034.3,544.1564455,65069.51,125669.63,502401.61,1197364.21,0,11300.12,41851551.42,8719.07,0,0,0,0,0,20041.97,-543075.74,-681817.85
157,41851551.42,122649227.8,541.8065744,73007.37,124624.14,501491.66,0,0,614827.48,41837404.48,8716.13,0,0,0,0,0,79573.08,-486383.91,-628266.22
158,41837404.48,122086948.5,539.487426,71694.67,121572.57,499776.71,0,0,10674.36,41226822.13,8588.92,0,0,0,0,0,2961.73,-556172.2,-698671.14
159,41226822.13,121531574.8,537.163062,70417.64,123451.22,498072.95,0,0,10528.15,40625524.04,8463.65,0,0,0,0,0,3008.69,-554528.1,-697396.77
160,40625524.04,120976696.4,534.8568978,69169.71,122227.67,496384.16,0,0,10382.64,40031849.62,8339.97,0,0,0,0,0,3006.11,-549498.99,-693115.4
161,40031849.62,120426508.9,532.564638,67938.39,121014.41,494710.5,0,0,10238.21,39443240.87,8217.34,0,0,0,0,0,3003.81,-544526.75,-688876.83
162,39443240.87,119880047.8,530.2895182,66725.73,119814.62,493045.93,0,0,10094.8,38862563.14,8096.37,0,0,0,0,0,3001.43,-539612.42,-684681.22
163,38862563.14,119338009.4,528.0353505,65532.8,118630.1,491394.1,0,0,9954.77,38291461.39,7977.39,0,0,0,0,0,2999.07,-534757.65,-680535.32
